,Law,Text,Category,Category_New,text_clean,A,B,C,Others
263,Regulation (RBAC) 139 by National Civil Aviation  Agency,He's the right reason.,B,B,he 's the right reason,0.44217650812101555,0.3906749390208838,0.39621807739059495,0.46133822745622194
264,Regulation (RBAC) 139 by National Civil Aviation  Agency,Hmm. He's got the right reasons.,B,B,hmm he 's got the right reason,0.46658872105574506,0.40821209877062,0.4236904302968483,0.4750311786677031
265,Regulation (RBAC) 139 by National Civil Aviation  Agency,He is his Christian holy reason.,B,B,he is hi christian holi reason,0.667970392721044,0.632693522325004,0.6657607076542401,0.5763768031682589
266,Regulation (RBAC) 139 by National Civil Aviation  Agency,He's got the right reasons.,B,B,he 's got the right reason,0.5643881493730475,0.5649733960772414,0.5883259440203065,0.5968639255784818
267,Regulation (RBAC) 139 by National Civil Aviation  Agency,▪ He has the right reasons.,B,B,▪ he ha the right reason,0.766730397547791,0.7268910390304756,0.721855595603585,0.648890788465708
269,Law 7565/1986 - Brazilian Aeronautical Code,"The operation of air services is open to any person, natural or legal entity, observing the provisions of this Code and the rules of the civil aviation authority.",None,None,the oper of air servic is open to ani person natur or legal entiti observ the provis of thi code and the rule of the civil aviat author,0.6172208605347147,0.6246615056529232,0.5932708857659544,0.6651502497511947
270,Ley Federal de Sanidad Animal DOF-07-06-2012,"In addition, there is an Official Veterinary Surgeon (Médico Veterinario Oficial, (Médico Veterinario Oficial, MVO) who is employed by SENASICA and works as an inspector at TIF-certified establishments.",A,A,in addit there is an offici veterinari surgeon médico veterinario ofici médico veterinario ofici mvo who is employ by senasica and work a an inspector at tif-certifi establish,0.6047876882694764,0.6232552114320334,0.617492027889525,0.5743311225095153
271,Decree 7624/2011 - Airport concession,"The granted aerodromes may be used by any aircraft, without distinction of ownership or nationality, against the burden of use, unless, for operational or safety reasons, there is a restriction of use for specific types of aircraft or air services, being forbidden the discrimination of users.",None,None,the grant aerodrom may be use by ani aircraft without distinct of ownership or nation against the burden of use unless for oper or safeti reason there is a restrict of use for specif type of aircraft or air servic be forbidden the discrimin of user,0.6641713918059111,0.6902739379098098,0.6504140804414457,0.6705408245056499
272,INFRAERO's Internal Bidding and Contract Regulation,"For engineering services, the winning bidder must present the breakdown of prices.",A,A,for engin servic the win bidder must present the breakdown of price,0.6799495346218948,0.6692357589857256,0.65754091992952,0.6239526649625989
273,Law 12.815/2013 - Law of Ports,"Admission to the independent port worker's registry depends on prior selection and enrolment in the registry referred to in item I of the main Article [line above], subject to the availability of vacancies and the chronological order of Enrolment in the registry.",A,A,admiss to the independ port worker 's registri depend on prior select and enrol in the registri refer to in item i of the main articl line abov subject to the avail of vacanc and the chronolog order of enrol in the registri,0.6844533335738439,0.6938265716677277,0.6557848109258075,0.6784295862129395
274,"NOM-012-SSA3-2012, Que establece los criterios para la ejecución de proyectos de investigación para la salud en seres humanos.",The NOM on criteria for research projects on humans expressly states it is only partially in line with international norms.,A,A,the nom on criterion for research project on human expressli state it is onli partial in line with intern norm,0.6516951829789692,0.7007166629209531,0.6526247308923311,0.6530029820482034
275,Law 14133/2021 - New General Procurement Act,"In the case of engineering works and services, proposals whose values are less than 75% (seventy-five percent) of the amount budgeted by the Administration will be considered unenforceable.",B,B,in the case of engin work and servic propos whose valu are le than seventy-f percent of the amount budget by the administr will be consid unenforc,0.6807102904544867,0.7105891290181454,0.6716028705131186,0.6886251568611055
276,Law 14133/2021 - New General Procurement Act,"In the case of employment and engineering services, proposals with less than 75% (75%) of the budget by Administration will be deemed unemployable.",B,B,in the case of employ and engin servic propos with le than of the budget by administr will be deem unemploy,0.7720930522502079,0.7319002723762895,0.7320491958429658,0.6996533017081918
277,Law 14133/2021 - New General Procurement Act,"In the case of technical works and services, proposals whose value is less than 75% (seventy-five %) of the amount that the budget of the administration will be considered impracticable.",B,B,in the case of technic work and servic propos whose valu is le than seventy-f of the amount that the budget of the administr will be consid impractic,0.7101109270587045,0.6775714478532209,0.7100932432470376,0.6617696598573581
278,Law 14133/2021 - New General Procurement Act,"In the case of engineering and services, proposals that cost less than 75 per cent (75 per cent) of the amount budgeted by the Administration will be considered non-implementable.",B,B,in the case of engin and servic propos that cost le than per cent per cent of the amount budget by the administr will be consid non-implement,0.6276550263508383,0.5869323430899553,0.5907545459072558,0.6033599067089482
279,Law 14133/2021 - New General Procurement Act,"In the case of engineering works and services, proposals whose value is less than 75% (75 percent) of the amount budgeted by the Administration will be considered inapplicable.",B,B,in the case of engin work and servic propos whose valu is le than percent of the amount budget by the administr will be consid inapplic,0.6507319087183402,0.637190675958607,0.6213318763816579,0.5845389355660874
280,Law 14133/2021 - New General Procurement Act,(code of the country) The services which provides less than the values (for example) should be considered fully considered critical of the percentage and 1999.,B,B,code of the countri the servic which provid le than the valu for exampl should be consid fulli consid critic of the percentag and,0.6976282764253783,0.7307165898421079,0.7136671109523883,0.7554422120108788
281,Law 7565/1986 - Brazilian Aeronautical Code,"Except with special authorization from the competent organ, no aircraft can carry explosives, ammunition, firearms, war material, equipment for aerophotogrammetric or prospecting surveys, or any other objects or substances considered dangerous to public safety, the aircraft itself or its occupants.",None,None,except with special author from the compet organ no aircraft can carri explos ammunit firearm war materi equip for aerophotogrammetr or prospect survey or ani other object or substanc consid danger to public safeti the aircraft itself or it occup,0.7232134917154169,0.7270701286297309,0.748663296807133,0.6906363898984331
282,Concession Contract 002/ANAC/2021-Sul - South Block,"After the first five years, share transfer involving an increase of airlines stakes is subject to prior approval by ANAC.",A,A,after the first five year share transfer involv an increas of airlin stake is subject to prior approv by anac,0.7487133576778643,0.7611137916385549,0.747198975308861,0.7588964806990217
283,Law 14133/2021 - New General Procurement Act,"In the procurement of goods, the Public Administration may exceptionally request a proof of concept when assessing offers, in cases of permanent pre-qualification.",A,A,in the procur of good the public administr may except request a proof of concept when ass offer in case of perman pre-qualif,0.80117112041645,0.7723034537765436,0.7843026359551335,0.7236055303706284
284,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,SINIIGA ear tags are lifetime identification for cattle and can include a microchip that helps farmers monitor health and production of animals.,A,A,siniiga ear tag are lifetim identif for cattl and can includ a microchip that help farmer monitor health and product of anim,0.6203617697723325,0.6511261559057407,0.6259161242837971,0.7564284118057938
285,"NOM-072-SSA1-2012, Etiquetado de medicamentos y de remedios herbolarios",Several labelling provisions require manufacturers to produce specific packaging for the Mexican market.,A,A,sever label provis requir manufactur to produc specif packag for the mexican market,0.6142003315602713,0.6397089819792653,0.6473872182894909,0.7251467418314799
286,Regulation (RBAC) 61/2012 by National Civil Aviation Agency - Pilot licences,"Licences may be issued to foreign pilots, as long as they meet the requirements and they are in a regular situation in Brazil. However, they cannot operate Brazilian aircrafts (which is forbidden by the Brazilian Aeronautical Code).",B,B,licenc may be issu to foreign pilot a long a they meet the requir and they are in a regular situat in brazil howev they can not oper brazilian aircraft which is forbidden by the brazilian aeronaut code,0.7450447947000425,0.7375739735714357,0.7256824525928228,0.7383820167153446
287,Regulation (RBAC) 61/2012 by National Civil Aviation Agency - Pilot licences,"The licenses may be issued to foreign pilots, provided they meet the requirements and are in a regular situation in Brazil. However, they may not use Brazilian aircraft (which is prohibited by the Brazilian Aeronautical Code).",B,B,the licens may be issu to foreign pilot provid they meet the requir and are in a regular situat in brazil howev they may not use brazilian aircraft which is prohibit by the brazilian aeronaut code,0.7603937458360602,0.7563845891957419,0.7576767396881635,0.7476239395912889
288,Regulation (RBAC) 61/2012 by National Civil Aviation Agency - Pilot licences,"Some EU countries are called to be called to the other PDA, so they meet with the services in a regular situation.",B,B,some eu countri are call to be call to the other pda so they meet with the servic in a regular situat,0.6768516670681449,0.702048998584051,0.7080735043403659,0.7264480396386305
289,Regulation (RBAC) 61/2012 by National Civil Aviation Agency - Pilot licences,"JUNE However, they could not operate Brazil's plane (forbidden by the Brazilian Aeronautic Code).",B,B,june howev they could not oper brazil 's plane forbidden by the brazilian aeronaut code,0.6798337658012024,0.6717590914786532,0.6250725712215868,0.6186872500568792
290,Regulation (RBAC) 61/2012 by National Civil Aviation Agency - Pilot licences,"The cross-border pilots may be licensed as long as they meet the requirements and are in a regular situation in Brazil, but they cannot operate Brazilian aircraft (which are prohibited by the Brazilian Air Code).",B,B,the cross-bord pilot may be licens a long a they meet the requir and are in a regular situat in brazil but they can not oper brazilian aircraft which are prohibit by the brazilian air code,0.6885962841245835,0.6490488593402406,0.648542315036176,0.6002095066069546
291,Regulation (RBAC) 61/2012 by National Civil Aviation Agency - Pilot licences,"Licences can be issued to foreign pilots, as long as they meet the requirements and they are in a regular situation in Brazil. However, they cannot use Brazilian aircraft (which is prohibited by the Brazilian flight code).",B,B,licenc can be issu to foreign pilot a long a they meet the requir and they are in a regular situat in brazil howev they can not use brazilian aircraft which is prohibit by the brazilian flight code,0.6605977251280788,0.6448619484532029,0.6306673932043019,0.6525688765425821
292,Resolution 188/2021 by Investment Partnerships Program Council - SOE's,"The new controller, within a period of three years from the date of signature of the contract for the purchase and sale of the shareholding control of CODESA, will have the obligation to repurchase the shares acquired by the employees and retirees of the company, if they wish to sell them, in the case that such shares have been acquired within the scope of the offer to employees and retirees and/or capital subscription.",A,A,the new control within a period of three year from the date of signatur of the contract for the purchas and sale of the sharehold control of codesa will have the oblig to repurchas the share acquir by the employe and retire of the compani if they wish to sell them in the case that such share have been acquir within the scope of the offer to employe and retire and/or capit subscript,0.7523124655758024,0.682258102362736,0.6965564972365086,0.6234777660296926
293,Concession Contract 002/ANAC/2021-Sul - South Block,"In case of ground handling service whose complexity, cost or environmental impact does not allow of division or duplication of the infrastructure, the concessionaire must request ANAC’s authorisation to provide this service exclusively.",A,A,in case of ground handl servic whose complex cost or environment impact doe not allow of divis or duplic of the infrastructur the concessionair must request anac ’ s authoris to provid thi servic exclus,0.7228481586358039,0.6563276508475258,0.6600493890692418,0.6130055163821078
294,Decree 8.033/2013- Decree-Law of Ports,"The investments not foreseen in the contracts must be preceded by communication to ANTAQ, in the case of authorised port facilities; and approval of the granting authority, preceded by ANTAQ's analysis, in the case of concessions and leases.",Administrativeburden,Others,the invest not foreseen in the contract must be preced by commun to antaq in the case of authoris port facil and approv of the grant author preced by antaq 's analysi in the case of concess and lea,0.7017893497733501,0.6336004019030481,0.6473373231603935,0.6115299013444253
295,Decree 8.033/2013- Decree-Law of Ports,"Unforeseen investments in contracts must be preceded by contacts with ANTAQ, in the case of authorized port facilities; and approval of the authority to award contracts, preceded by the analysis of ANTAQ, in the case of concessions and leases.",Administrativeburden,Others,unforeseen invest in contract must be preced by contact with antaq in the case of author port facil and approv of the author to award contract preced by the analysi of antaq in the case of concess and lea,0.7910811234498196,0.7343544142629618,0.7490722704752031,0.6909012680474047
296,Decree 8.033/2013- Decree-Law of Ports,"In the case of approved port facilities, investments not provided for in the contracts must be preceded by notification to ANTAQ and by approval of the granting authority preceded by an ANTAQ analysis in the case of concessions and leases.",Administrativeburden,Others,in the case of approv port facil invest not provid for in the contract must be preced by notif to antaq and by approv of the grant author preced by an antaq analysi in the case of concess and lea,0.7029423747300934,0.6426097283726107,0.663613486280666,0.5964053177627906
297,Decree 8.033/2013- Decree-Law of Ports,"In the case of authorised port facilities, investments not provided for in the contracts must be preceded by the notification to ANTAQ and the approval of the granting authority prior to the analysis of ANTAQ, in the case of concessions and leases.",Administrativeburden,Others,in the case of authoris port facil invest not provid for in the contract must be preced by the notif to antaq and the approv of the grant author prior to the analysi of antaq in the case of concess and lea,0.7588470783922645,0.7019601091593184,0.713205324757036,0.6388900943097036
298,Decree 8.033/2013- Decree-Law of Ports,"In the case of approved port facilities, the investments not provided for in the contracts shall, prior to the notification to ANTAQ, be approved by the granting authority prior to the analysis by ANTAQ in the case of concessions and leasing.",Administrativeburden,Others,in the case of approv port facil the invest not provid for in the contract shall prior to the notif to antaq be approv by the grant author prior to the analysi by antaq in the case of concess and lea,0.7241864651239508,0.6511493901368153,0.6596723441626955,0.6087729619561264
299,Decree 8.033/2013- Decree-Law of Ports,"The investments not provided for in the contracts should be preceded by notification to ANTAQ, in the case of authorised port facilities, and approval by the licensing authority, preceded by the analysis of ANTAQ, in the case of concessions and leases.",Administrativeburden,Others,the invest not provid for in the contract should be preced by notif to antaq in the case of authoris port facil and approv by the licens author preced by the analysi of antaq in the case of concess and lea,0.6325275503597947,0.5638252735465569,0.5631440582366156,0.532453661718653
300,Decree 8.033/2013- Decree-Law of Ports,"Before non-contracted investments, the ATAQ shall be notified in the case of an approved port facility and the approval of the authority issuing the ANTAQ analysis in the case of concessions and leases.",Administrativeburden,Others,befor non-contract invest the ataq shall be notifi in the case of an approv port facil and the approv of the author issu the antaq analysi in the case of concess and lea,0.6444244102660313,0.6015843212976868,0.6308805106481927,0.5370177278875827
301,Decree 8.033/2013- Decree-Law of Ports,"• Investments not provided for in the contracts must be preceded by a communication to the ANTAQ, in the case of licensed port facilities, and an approval by the authority which grants, preceded by an analysis by the ANTAQ, in the case of concessions and leases.",Administrativeburden,Others,• invest not provid for in the contract must be preced by a commun to the antaq in the case of licens port facil and an approv by the author which grant preced by an analysi by the antaq in the case of concess and lea,0.6312737635835539,0.6156953115108159,0.6101404825454213,0.5635363256674862
302,Decree 8.033/2013- Decree-Law of Ports,The investments not provided for in the contracts must be made in the case of approved port facilities by a notification to ANTAQ and the approval of the granting authority prior to the analysis of ANTAQ in the case of concessions and leases.,Administrativeburden,Others,the invest not provid for in the contract must be made in the case of approv port facil by a notif to antaq and the approv of the grant author prior to the analysi of antaq in the case of concess and lea,0.6996066801153054,0.6570136926158546,0.6578133024669935,0.6026126682417844
303,Decree 8.033/2013- Decree-Law of Ports,"In the case of continued port facilities for discussion on compromises, and granting approval of authority, at PADQ, in the matter of compromise and expansion.",Administrativeburden,Others,in the case of continu port facil for discus on compromis and grant approv of author at padq in the matter of compromis and expans,0.7134975890963426,0.6699904946322461,0.6850897686711959,0.6300967741740717
304,Decree 8.033/2013- Decree-Law of Ports,"For example, it means that the law of Community law must be responsible for the relevant Community law.",Administrativeburden,Others,for exampl it mean that the law of commun law must be respons for the relev commun law,0.7497679625665685,0.686370377468928,0.6884277068822992,0.6270376641171036
305,Decree 8.033/2013- Decree-Law of Ports,"The unpredicted investment in the contract must be preceded by communication to ANTAQ, in the case of harbor facility clearance, and the approval of grant authority, previously by AnTAQ analysis, in the case of concessions and leases.",Administrativeburden,Others,the unpredict invest in the contract must be preced by commun to antaq in the case of harbor facil clearanc and the approv of grant author previous by antaq analysi in the case of concess and lea,0.6997856244903562,0.6502380520574453,0.6696855386988011,0.6148448821702455
306,Decree 8.033/2013- Decree-Law of Ports,"The investments not foreseen in the contracts must be preceded by the communication to ANTAQ, in the case of authorised port facilities, and by the approval of the granting authority, preceded by the analysis of ANTAQ, in the case of concessions and leasing.",Administrativeburden,Others,the invest not foreseen in the contract must be preced by the commun to antaq in the case of authoris port facil and by the approv of the grant author preced by the analysi of antaq in the case of concess and lea,0.713286826684364,0.6649361753855052,0.66985756040488,0.6050345843016546
307,Decree 8.033/2013- Decree-Law of Ports,:: Non-contracted investments should be preceded by messages to ANTAC in the case of authorized port facilities; and approval of the issuing authority preceded by the analysis of ANTAC in the case of concessions and leases.,Administrativeburden,Others,non-contract invest should be preced by messag to antac in the case of author port facil and approv of the issu author preced by the analysi of antac in the case of concess and lea,0.6658747805919323,0.6115441402456054,0.6222981280185623,0.5150558045752327
308,Decree 8.033/2013- Decree-Law of Ports,"The investments not provided for in the contracts must be preceded by a communication to ANTAQ, in the case of approved port facilities, and the approval of the granting authority, preceded by the analysis of ANTAQ, in the case of concessions and leases.",Administrativeburden,Others,the invest not provid for in the contract must be preced by a commun to antaq in the case of approv port facil and the approv of the grant author preced by the analysi of antaq in the case of concess and lea,0.6496263021313862,0.6527103303319203,0.6332583389948031,0.6457318336215354
309,Decree 8.033/2013- Decree-Law of Ports,"In the case of approved port facilities, the investment not foreseen in the contracts must be preceded by notification to ANTAQ and approval by the granting authority, preceded by ANTAQ's analysis, in the case of concessions and leasing contracts.",Administrativeburden,Others,in the case of approv port facil the invest not foreseen in the contract must be preced by notif to antaq and approv by the grant author preced by antaq 's analysi in the case of concess and lea contract,0.6842900801888314,0.7625517870859617,0.740380428444873,0.8051342725912207
310,Decree 8.033/2013- Decree-Law of Ports,"The investments not covered by the contracts must be preceded by the notification of ANTAQ in the case of authorised port facilities and the approval of the granting authority, preceded by an analysis of ANTAQ in the case of concessions and leases.",Administrativeburden,Others,the invest not cover by the contract must be preced by the notif of antaq in the case of authoris port facil and the approv of the grant author preced by an analysi of antaq in the case of concess and lea,0.656656449746706,0.638528254755536,0.643177587945608,0.6458331488801936
311,Resolution 330/2014 by National Civil Aviation Agency - Authorisation,Only the air services specified in art. 2 of this Resolution can be processed in the public civil aerodrome object of authorization under the terms of this Resolution.,None,None,onli the air servic specifi in art of thi resolut can be process in the public civil aerodrom object of author under the term of thi resolut,0.6295077654651587,0.608108242723322,0.6356733583029998,0.6174929680102366
312,Ministerial Ordinance 93/2020 by Ministry of Infrastructure - Contracts,"f the contract; (ix) the period between the termination of the airport concession and the termination of the commercial contract must be: (a) equal to or less than 30 years, if the remaining term of the concession is greater than 10 years or (b) equal to or less than half of the term of the commercial contract, if the remaining term of the concession is equal or less than 10 years.",A,A,f the contract ix the period between the termin of the airport concess and the termin of the commerci contract must be a equal to or le than year if the remain term of the concess is greater than year or b equal to or le than half of the term of the commerci contract if the remain term of the concess is equal or le than year,0.6573020079300598,0.6270672947777567,0.6540332697944952,0.621606985084623
313,Law 13303/2016 - Law of SOEs,"Situations in which contracts may be directly awarded (18 different cases), among which: (i) low-value contracts: (a) contracts comprising engineering works and services, up to BRL 100 000 (around EUR 15 500); and (b) contracts comprising other services, purchases and sells, up to BRL 50 000 (around EUR 7 700); (ii) when the bidding procedure fails (no bid submissions) and it is not possible to open a new public tender; (iii) when the bid values are higher than the market price; (iv) emergency s",A,A,situat in which contract may be directli award differ case among which i low-valu contract a contract compris engin work and servic up to brl around eur and b contract compris other servic purchas and sell up to brl around eur ii when the bid procedur fail no bid submiss and it is not possibl to open a new public tender iii when the bid valu are higher than the market price iv emerg s,0.6413360143462298,0.623735113852895,0.6512930097849671,0.6271190010807133
314,Ley Federal de Protección al Consumidor,"PROFECO, the Mexican Federal Attorney's Office of the Consumer, produces and publishes reports on products and services' quality and features, in order to guide and protect consumers. PROFECO makes specific mention of brands in these reports, but Article 44 of the Ley Federal de Protección al Consumidor forbids companies from quoting these reports.",B,B,profeco the mexican feder attorney 's offic of the consum produc and publish report on product and servic qualiti and featur in order to guid and protect consum profeco make specif mention of brand in these report but articl of the ley feder de protección al consumidor forbid compani from quot these report,0.6303710794898925,0.60264576860514,0.6251818823309832,0.5912655491050105
316,Ley Federal de Protección al Consumidor,"PROFECO, the Office of the Mexican Federal Prosecutor of Consumer, issues and publishes reports on the quality and characteristics of products and services to lead and protect consumers. PROFECO provides specific information on brands in these reports, but Article 44 Ley Federal de Protección al Consumidor prohibits companies from quoting these reports.",B,B,profeco the offic of the mexican feder prosecutor of consum issu and publish report on the qualiti and characterist of product and servic to lead and protect consum profeco provid specif inform on brand in these report but articl ley feder de protección al consumidor prohibit compani from quot these report,0.6141539700867353,0.5663588933138648,0.5893273055744801,0.4910690127733225
317,Ley Federal de Protección al Consumidor,"PROFECO, the Mexican Public Prosecutor's Office for Consumer, produces and publishes reports on the quality and functions of products and services, to guide and protect consumers. PROFECO makes specific mention of brands in these reports, but Article 44 of Ley Federal de Protección al Consumidor forbids companies to quote these reports.",B,B,profeco the mexican public prosecutor 's offic for consum produc and publish report on the qualiti and function of product and servic to guid and protect consum profeco make specif mention of brand in these report but articl of ley feder de protección al consumidor forbid compani to quot these report,0.6386561487725251,0.5820665997502286,0.5733943344244662,0.56225707722426
318,Ley Federal de Protección al Consumidor,"PROFECO, the Mexican Federal Prosecutor's Office of Consumer, produces and publishes reports on products and services quality and features, to guide and protect consumers. PROFECO makes particular mention of brands in these reports, but Article 44 of Ley Federal de Protección al Consumidor prohibits companies from quoting these reports.",B,B,profeco the mexican feder prosecutor 's offic of consum produc and publish report on product and servic qualiti and featur to guid and protect consum profeco make particular mention of brand in these report but articl of ley feder de protección al consumidor prohibit compani from quot these report,0.6450667428612462,0.6796875192411586,0.6888325348102754,0.6251435610705618
319,Ley Federal de Protección al Consumidor,"PROFECO, the Mexican Federal Consumer Office, produces and publishes reports on the quality and characteristics of products and services in order to guide and protect consumers. PROFECO specifically mentions trademarks in these reports, but Article 44 of the Ley Federal de Protección al Consumidor prohibits companies from quoting these reports.",B,B,profeco the mexican feder consum offic produc and publish report on the qualiti and characterist of product and servic in order to guid and protect consum profeco specif mention trademark in these report but articl of the ley feder de protección al consumidor prohibit compani from quot these report,0.6239558838810458,0.6376465354464964,0.5935683967053016,0.6424479822341971
320,State transport documents,"According to several industry participants, state transport documents usually have a cost, and contain information that is already included in the CZM.",A,A,accord to sever industri particip state transport document usual have a cost and contain inform that is alreadi includ in the czm,0.5783499443088157,0.5857625906624554,0.5783589087420874,0.6310443678459099
321,Regulation (RBAC) 141/2019 by National Civil Aviation Agency – Civil aviation schools,tical test for accredited examiner.,A,A,tical test for accredit examin,0.538830205014893,0.521996936611698,0.5440671430282674,0.5182723506740697
322,Decree 7624/2011 - Airport concession,"For the purposes of the regulation provided for in § 1 , the Civil Aviation Secretary of the Presidency of the Republic must hear the Aeronautics Command regarding investments in the aeronautical infrastructure.",None,None,for the purpos of the regul provid for in § the civil aviat secretari of the presid of the republ must hear the aeronaut command regard invest in the aeronaut infrastructur,,,,
324,"legal text is not updated, there might be confusion among market pa NOM-213-SSA1- 2002, Productos y servicios. Productos cárnicos procesados. Especificaciones sanitarias. Métodos derticipants prueba",The norm specifically states that it is only partially in line with international standards. This norm deals with sanitary specifications for processed-meat products.,A,A,the norm specif state that it is onli partial in line with intern standard thi norm deal with sanitari specif for processed-meat product,0.5905259065998973,0.6089107761374986,0.6420771199812354,0.6348303952731686
325,Normative resolution 01/2015 by ANTAQ  - cargo,"The chartering of a vessel does not require an authorisation in the following case: III - foreign vessels with bare hulls, in maritime support navigation, cabotage and long haul, limited to twice the deadweight tonnage of vessels of a similar type, which it ordered from a Brazilian shipyard installed in the country, while the construction lasts, whose charter will be by the maximum accumulated period of 36 (thirty-six) months, added: a) half of the deadweight tonnage of Brazilian vessels propert",A,A,the charter of a vessel doe not requir an authoris in the follow case iii foreign vessel with bare hull in maritim support navig cabotag and long haul limit to twice the deadweight tonnag of vessel of a similar type which it order from a brazilian shipyard instal in the countri while the construct last whose charter will be by the maximum accumul period of thirty-six month ad a half of the deadweight tonnag of brazilian vessel propert,0.6836012871642527,0.649954046368945,0.6514845425993342,0.6194431878691927
326,Resolution 17/2006 by National Petroleum Agency - Fuel,"To demonstrate the economic and financial qualification, the following documents must be presented: (i) summary statement of the origin of resources to be used in aviation fuel distribution, with the projection of the cash flow for the following 24 months; (ii) account balances on the last day of the previous month and the last closing balance sheet; and (iii) project study comprising monthly volume projections and indication of supply and distribution logistics for 24 months from the beginning ",A,A,to demonstr the econom and financi qualif the follow document must be present i summari statement of the origin of resourc to be use in aviat fuel distribut with the project of the cash flow for the follow month ii account balanc on the last day of the previou month and the last close balanc sheet and iii project studi compris monthli volum project and indic of suppli and distribut logist for month from the begin,0.5963980766232421,0.6086519585221819,0.6125484771491183,0.6454243377358264
327,Resolution 302/2014 by National Civil Aviation  Agency - Airport Area,"222 of March 22, 2012, published in the DOU of March 23, 2012,
Section 1, page 2; VI - the Resolution No.",None,None,of march publish in the dou of march section page vi the resolut no,0.5808719011547391,0.5782220511846613,0.5608474872536107,0.5790135179650949
328,Law 13303/2016 - Law of SOEs,ituations.,A,A,ituat,0.6941892194336223,0.775039619609553,0.7849212409191668,0.7702915715445364
329,Reglamento de Insumos para la Salud,"In addition, various authorities of countries with important suppliers, especially China and India, are currently not recognised by COFEPRIS.",A,A,in addit variou author of countri with import supplier especi china and india are current not recognis by cofepri,0.5877928712958737,0.576849520872297,0.5810128446247558,0.6990839111254998
330,Law 13475/2017 - Aeronaut profession,"Crew members must be directly hired by the aircraft operator, through an employment contract.",A,A,crew member must be directli hire by the aircraft oper through an employ contract,0.6033342841597003,0.5917346012524924,0.6380991158837271,0.5914168192274026
331,Decree 3411/2000- cargo,"The exercise of the activity of Multimodal Transport Operator, in international multimodal cargo transport, depends on authorisation by the Federal Revenue Service, for customs control purposes.",A,A,the exercis of the activ of multimod transport oper in intern multimod cargo transport depend on authoris by the feder revenu servic for custom control purpos,0.6159549477689394,0.5705857605483657,0.5474812608476036,0.5595360113087774
332,Law 13475/2017 - Aeronaut profession,"An aircraft operator can use instructors to which it is not bound by an employment contract if there is no qualified instructor in its crew, only for the period of instruction. ANAC must authorise it.",A,A,an aircraft oper can use instructor to which it is not bound by an employ contract if there is no qualifi instructor in it crew onli for the period of instruct anac must authoris it,0.7363523820178487,0.760763536204528,0.7299476790228739,0.7145024813190939
333,Law 7565/1986 - Brazilian Aeronautical Code,"During the contract, the creditor may inspect the condition of the assets, object of the mortgage.",None,None,dure the contract the creditor may inspect the condit of the asset object of the mortgag,0.7270418483668797,0.6328872426138512,0.6878700078896021,0.6059899761121159
334,Decree 2.256/1997 Brazilian Special Registry,"Brazilian shipping companies are guaranteed to contract, in the international market, insurance and reinsurance coverage for hulls, machinery and civil liability for their vessels registered with REB, as long as the domestic market does not offer such coverage or prices compatible with the international market.",A,A,brazilian ship compani are guarante to contract in the intern market insur and reinsur coverag for hull machineri and civil liabil for their vessel regist with reb a long a the domest market doe not offer such coverag or price compat with the intern market,0.666897557136128,0.6438385750329291,0.6608675823447437,0.5945140107008218
335,Normative Instrument 2102.01- SOE's - COMPANHIA DOCAS DO PARÁ - CDP,"Performance guarantee may be required when contracting works, services and purchases, which must be presented in up to 15 (fifteen) consecutive days after signing the contract.",A,A,perform guarante may be requir when contract work servic and purchas which must be present in up to fifteen consecut day after sign the contract,0.6111205862119307,0.6167236668112588,0.6457488961431476,0.6082827369037912
336,Resolution 17/2006 by National Petroleum Agency - Fuel,"To demonstrate the legal qualification and tax compliance, the following documents must be presented: (i) request form signed by the legal representative of the firm; (ii) completed registration form signed by the legal representative of the firm; (iii) proof of enrolment on the National Register of Legal Entities (CNPJ); (iv) firms’s bylaws comprising aviation fuel distribution activities; (v) certificate issued by the Board of Trade, with all amendments to the articles of incorporation of the ",A,A,to demonstr the legal qualif and tax complianc the follow document must be present i request form sign by the legal repres of the firm ii complet registr form sign by the legal repres of the firm iii proof of enrol on the nation regist of legal entiti cnpj iv firm ’ s bylaw compris aviat fuel distribut activ v certif issu by the board of trade with all amend to the articl of incorpor of the,0.7487383159049239,0.6964837754509349,0.6805369784868619,0.6995736935998665
337,Law 7565/1986 - Brazilian Aeronautical Code,"If the rescue is provided by several aircraft, boats, vehicles or people involving several parties, the remuneration will be fixed jointly by the judge, and distributed according to the criteria established in this article. The interested parties must assert their rights to compensation within 6 (six) months, counting from the day of the relief.",None,None,if the rescu is provid by sever aircraft boat vehicl or peopl involv sever parti the remuner will be fix jointli by the judg and distribut accord to the criterion establish in thi articl the interest parti must assert their right to compens within six month count from the day of the relief,0.650975048261704,0.6548611856068597,0.6541877551359344,0.6870481657358709
338,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO GRANDE DO NORTE- CODERN,The bidding may be restricted to pre-qualified companies.,A,A,the bid may be restrict to pre-qualifi compani,0.6814038100330716,0.6781291533810776,0.6921780926336814,0.6663019042082368
340,Law 13.319/2016 - Airport Tariff,"The Additional Airport Charge, created by Law No. 7,920, of December 7, 1989 , is extinguished as of January 1, 2017.",None,None,"the addit airport charg creat by law no 7,920 of decemb is extinguish a of januari",0.6997160326013829,0.693807573167438,0.6949061553029896,0.6866323200646288
