,Law,Text,Category,Category_New,Length
224,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,"To transport livestock across Mexican territory, it is necessary to acquire a certification from the local livestock association in the municipality of origin.",A,A,159
225,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,To obtain this certification.,A,A,29
226,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,it is necessary to provide the local livestock association with proof of ownership of the animals to be transported.,A,A,116
227,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,"This can be a certificate of the registry of a branding-iron, a mark or a tattoo.",A,A,81
228,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,"For cattle, there is also a federal identification system that uses ear tags.",A,A,77
229,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,"the National System of Individual Cattle Identification (Sistema Nacional de Identificación Individual de Ganado, SINIIGA).",A,A,123
230,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,SINIIGA ear tags are lifetime identification for cattle and can include a microchip that helps farmers monitor health and production of animals.,A,A,144
231,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,"SINIIGA aims to foster sanitary control, ensure traceability and prevent cattle rustling.",A,A,89
232,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,There are no equivalent identification systems for pigs and chicken.,A,A,68
233,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,"SINIIGA is described in NOM-001-SAG/GAN-2015, Sistema Nacional de Identificación Animal para Bovinos y Colmenas, published on the Federal Official Gazette on 29 May 2015.",A,A,170
234,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,"To transport livestock across Mexican territory, it is necessary to acquire a certification from the local livestock association in the municipality of origin.",C,C,159
235,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,To obtain this certification.,C,C,29
236,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,it is necessary to provide the local livestock association with proof of ownership of the animals to be transported.,C,C,116
237,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,"This can be a certificate of the registry of a branding-iron, a mark or a tattoo.",C,C,81
238,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,"For cattle, there is also a federal identification system that uses ear tags.",C,C,77
239,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,"the National System of Individual Cattle Identification (Sistema Nacional de Identificación Individual de Ganado, SINIIGA).",C,C,123
240,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,SINIIGA ear tags are lifetime identification for cattle and can include a microchip that helps farmers monitor health and production of animals.,C,C,144
241,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,"SINIIGA aims to foster sanitary control, ensure traceability and prevent cattle rustling.",C,C,89
242,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,There are no equivalent identification systems for pigs and chicken.,C,C,68
243,Ley de Organizaciones Ganaderas DOF 09-04-2012 Reglamento de la Ley de Organizaciones Ganaderas DOF 24-12-1999,"SINIIGA is described in NOM-001-SAG/GAN-2015, Sistema Nacional de Identificación Animal para Bovinos y Colmenas, published on the Federal Official Gazette on 29 May 2015.",C,C,170
244,Ley de Desarrollo Rural Sustentable DOF 12-01-2012,"The Inter-Ministerial Commission for Sustainable Rural Development (Comisión Intersecretarial para el Desarrollo Rural Sustentable, CIDRS), with the participation of the Mexican Council for Sustainable Rural Development (Consejo Mexicano para el Desarrollo Rural Sustentable, CMDRS), and in accordance with international trade agreements signed by the Mexican federal government, decides on those agricultural products whose producers are eligible to receive support.",A,A,467
245,Ley de Desarrollo Rural Sustentable DOF 12-01-2012,"In particular, CIDRS can undertake actions to ensure that consumers are geographically closer to favoured producers.",A,A,116
246,Ley de Desarrollo Rural Sustentable DOF 12-01-2012,(Article 111 of the Ley de Desarrollo Rural Sustentable also contains another restriction which deals with public procurement).,A,A,127
247,Ley de Desarrollo Rural Sustentable DOF 12-01-2012,The CIDRS is composed of the ministers of ministries involved in rural development (i.e.,A,A,88
248,Ley de Desarrollo Rural Sustentable DOF 12-01-2012,"SAGARPA, SE, SEMARNAT, SHCP, SCT, SSA, SEDESOL, SEDATU, SEP and SENER), as well as by any other ministries or entities that the executive considers necessary.",A,A,158
249,Ley de Desarrollo Rural Sustentable DOF 12-01-2012,SAGARPA oversees CIDRS CMDRS is composed of CIDRS along with accredited representatives from social and private national organisations whose scope of action talls within rural areas,A,A,181
250,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","Currently, there are no Mexican Official Standards (Normas Oficiales Mexicanas, NOMs) related to the classification of beef.",B,B,124
251,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers",pork or chicken carcasses.,B,B,26
252,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","However, there do exist voluntarv standards dealing with this subject: Mexican Norms (Normas Mexicanas, NMX) NMX- FF-078-SCFI-2002, NMX- FF-081-SCFI-2003 and NMX-FF-128-SCFI-2016.",B,B,179
253,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","According to industry participants, these NMX are neither widely applied nor regularly updated The absence of compulsory meat classification systems has a negative impact on both the domestic and the exports markets.",B,B,216
254,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers",Domestic market.,B,B,16
255,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The absence of NOMs related to the classification of beef, pork or chicken carcasses is aggravated by the existence of several state livestock laws containing provisions that discriminate against non- local meat producers.",B,B,222
256,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","COFECE's report, Miscelánea de obstáculos regulatorios a la competencia.",B,B,72
257,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","Análisis de la normatividad estatal, notes that, for instance, the Ley de Ganadería of Sonora state establishes that retailers have to separate - in fridges, shelves or showcases - livestock products from Sonora from livestock products coming from other Mexican states or abroad.",B,B,279
258,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","In the case of the states of Tamaulipas (Reglamento para el Funcionamiento del Servicio de Clasificación de Carnes) and Veracruz (Reglamento del artículo 95-A de la Ley Ganadera), cattle-meat boxes coming from other states are automatically graded as ""meat of commercial quality"", which is the lowest grade for cattle carcasses in the classification systems of both states.",B,B,373
259,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","Furthermore, according to industry participants, in the case of pork.",B,B,69
260,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","there is the problem of ""plumping"" or ""enhancing'.",B,B,50
261,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","In severe cases, 40% of the total weight of pork can be brine.",B,B,62
262,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers",Export market.,B,B,14
263,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","As Mexican meat cannot be differentiated, exporters have to sell their meat at lower prices, since importing countries (e.g.",B,B,124
264,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","the United States) grant Mexican meat the lowest classification, independent of its actual quality.",B,B,99
265,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","Currently, there are no Mexican Official Standards (Normas Oficiales Mexicanas, NOMs) related to the classification of beef.",B,B,124
266,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers",pork or chicken carcasses.,B,B,26
267,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","However, there do exist voluntarv standards dealing with this subject: Mexican Norms (Normas Mexicanas, NMX) NMX- FF-078-SCFI-2002, NMX- FF-081-SCFI-2003 and NMX-FF-128-SCFI-2016.",B,B,179
268,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","According to industry participants, these NMX are neither widely applied nor regularly updated The absence of compulsory meat classification systems has a negative impact on both the domestic and the exports markets.",B,B,216
269,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers",Domestic market.,B,B,16
270,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The absence of NOMs related to the classification of beef, pork or chicken carcasses is aggravated by the existence of several state livestock laws containing provisions that discriminate against non- local meat producers.",B,B,222
271,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","COFECE's report, Miscelánea de obstáculos regulatorios a la competencia.",B,B,72
272,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","Análisis de la normatividad estatal, notes that, for instance, the Ley de Ganadería of Sonora state establishes that retailers have to separate - in fridges, shelves or showcases - livestock products from Sonora from livestock products coming from other Mexican states or abroad.",B,B,279
273,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","In the case of the states of Tamaulipas (Reglamento para el Funcionamiento del Servicio de Clasificación de Carnes) and Veracruz (Reglamento del artículo 95-A de la Ley Ganadera), cattle-meat boxes coming from other states are automatically graded as ""meat of commercial quality"", which is the lowest grade for cattle carcasses in the classification systems of both states.",B,B,373
274,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","Furthermore, according to industry participants, in the case of pork.",B,B,69
275,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","there is the problem of ""plumping"" or ""enhancing'.",B,B,50
276,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","In severe cases, 40% of the total weight of pork can be brine.",B,B,62
277,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers",Export market.,B,B,14
278,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","As Mexican meat cannot be differentiated, exporters have to sell their meat at lower prices, since importing countries (e.g.",B,B,124
279,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","the United States) grant Mexican meat the lowest classification, independent of its actual quality.",B,B,99
280,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"Transport of regulated products"" inside Mexico is subject to the issuance of a Zoosanitary Transport Certificate (Certificado Zoosanitario de Movilización, CZM) from SAGARPA or third-party specialists either authorised by SAGARPA or that are authorised at zoosanitary certification centers belonging to a certification body.",A,A,324
281,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"According to Article 4 of the Ley Federal de Sanidad Animal, 'regulated products"" are defined as animals, products of animal origin, products for use or consumption by animals, livestock equipment, and any other articles or goods related to animals that might entail a zoosanitary risk.",A,A,286
282,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,The CZM has to be used within five days of its issuance.,A,A,56
283,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"Issuance of this certificate depends on compliance with a number of technical requirements (e.g.campaigns, quarantine, contamination risks, national emergency system, animal welfare and national epidemiologic vigilance system), which are listed and described in detail in Articles 110 and 111 of the Reglamento de la Lev Federal de Sanidad Animal.",A,A,347
284,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"The Ley Federal de Derechos, with the last amendment published on the Federal Official Gazette on 7 December 2016, states in Article 86-A, Letter II.",A,A,149
285,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,that a CZM costs MXN 99.82.,A,A,27
286,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,Concerning livestock.,A,A,21
287,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,Article 111.,A,A,12
288,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"Letter VI of the Reglamento de la Ley Federal de Sanidad Animal states that the CZM is granted either for each individual animal or per lot, depending on the animal species",A,A,172
289,State transport documents,COFECE's report Miscelánea de obstáculos regulatorios a la competencia.,A,A,71
290,State transport documents,"Análisis de la normatividad estatal states that severa state governments require a transport document in order to transport live animals, their products and subproducts within states.",A,A,183
291,State transport documents,"Transport documents have different names, depending on the state.",A,A,65
292,State transport documents,"For example, state livestock laws of Chiapas (Ley de Fomento y Sanidad Pecuaria), Coahuila (Ley de Fomento Ganadero), Puebla (Ley Ganadera), Querétaro (Ley de Desarrollo Pecuario Quintana Roo (Ley de Fomento y Desarrollo Pecuario), San Luis Potosi (Ley de Ganadería) and Yucatán (Ley Ganadera) refer to this document as a guía de tránsito.",A,A,339
293,State transport documents,In several states (e.g.,A,A,23
294,State transport documents,"Chiapas, Coahuila, Puebla, Querétaro and Yucatán).",A,A,50
295,State transport documents,transport documents can be issued by local livestock associations.,A,A,66
296,State transport documents,"According to several industry participants, state transport documents usually have a cost, and contain information that is already included in the CZM.",A,A,151
297,State transport documents,"Thus, transport documents constitute an unnecessary double control.",A,A,67
298,State transport documents,"Sometimes, in addition to transport documents, state governments also require the payment of disinfection certificates and entry permits.",A,A,137
299,State transport documents,COFECE's report Miscelánea de obstáculos regulatorios a la competencia.,A,A,71
300,State transport documents,"Análisis de la normatividad estatal states that severa state governments require a transport document in order to transport live animals, their products and subproducts within states.",A,A,183
301,State transport documents,"Transport documents have different names, depending on the state.",A,A,65
302,State transport documents,"For example, state livestock laws of Chiapas (Ley de Fomento y Sanidad Pecuaria), Coahuila (Ley de Fomento Ganadero), Puebla (Ley Ganadera), Querétaro (Ley de Desarrollo Pecuario Quintana Roo (Ley de Fomento y Desarrollo Pecuario), San Luis Potosi (Ley de Ganadería) and Yucatán (Ley Ganadera) refer to this document as a guía de tránsito.",A,A,339
303,State transport documents,In several states (e.g.,A,A,23
304,State transport documents,"Chiapas, Coahuila, Puebla, Querétaro and Yucatán).",A,A,50
305,State transport documents,transport documents can be issued by local livestock associations.,A,A,66
306,State transport documents,"According to several industry participants, state transport documents usually have a cost, and contain information that is already included in the CZM.",A,A,151
307,State transport documents,"Thus, transport documents constitute an unnecessary double control.",A,A,67
308,State transport documents,"Sometimes, in addition to transport documents, state governments also require the payment of disinfection certificates and entry permits.",A,A,137
309,"Oficio Circular No. B00.03.- 08/06/2016 de SENASICA Acuerdo por el que se da a conocer la campaña y las medidas zoosanitarias que deberán aplicarse para el diagnóstico, prevención, control y erradicación de la Influenza Aviar Notificable, en las zonas del territorio de los Estados Unidos Mexicanos en las que se encuentre presente esa enfermedad. DOF- 21-06-2011","It is necessary to fill in a Transport Notice (Aviso de Movilización, AM) in order to transport pigs, and their products and subproducts, and poultry, its products and subproducts from an area free of influenza.",A,A,211
310,"Oficio Circular No. B00.03.- 08/06/2016 de SENASICA Acuerdo por el que se da a conocer la campaña y las medidas zoosanitarias que deberán aplicarse para el diagnóstico, prevención, control y erradicación de la Influenza Aviar Notificable, en las zonas del territorio de los Estados Unidos Mexicanos en las que se encuentre presente esa enfermedad. DOF- 21-06-2011","AMs are free and can be filled in via the National Service of Transport Notices (Servicio Nacional de Avisos de Movilización, SNAM).",A,A,132
311,"Oficio Circular No. B00.03.- 08/06/2016 de SENASICA Acuerdo por el que se da a conocer la campaña y las medidas zoosanitarias que deberán aplicarse para el diagnóstico, prevención, control y erradicación de la Influenza Aviar Notificable, en las zonas del territorio de los Estados Unidos Mexicanos en las que se encuentre presente esa enfermedad. DOF- 21-06-2011","Poultry, its products and subproducts from areas that are not free of influenza need a Zoosanitary Transport Certificate (Certificado Zoosanitario de Movilización, CZM) instead; there is a charge for a CZM",A,A,205
312,"NOM-194-SSA1- 2004. Productos y servicios. Especificaciones sanitarias en los establecimientos dedicados al sacrificio y faenado de animales para abasto, almacenamiento, transporte y expendio. Especificaciones sanitarias de productos","All animals arriving at an abattoir must have a zoosanitary certificate (the NOM refers to certificado zoosanitano, which is presumably a CZM) or a ""Cattle Transport Document"" (the NOM refers to guía de traslado de ganado, which is presumably is a state transport document). Furthermore, registry must be kept of information concerning origin, destination, meat temperature, means of transport temperature, and data to identify the vehicle (such as licence plate, driver, and company).",A,A,485
313,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,Agricultural and livestock producers wanting to commercialise their products as organic need a certification granted by SAGARPA or by an organic certification body.,A,A,164
314,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,The latter are private firms (e.g.,A,A,34
315,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,Certificadora mexicana de productos y procesos ecológicos).,A,A,59
316,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,approved by SAGARPA to certify that a product is organic.,A,A,57
317,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,"As of November 2015, there were nine organic certification bodies in Mexico.",A,A,76
318,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,"To obtain the organic certification, a producer must submit an Organic Plan to an organic certification body and its production must go through a ""conversion period"".",A,A,166
319,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,The Organic Plan describes all production stages and proves compliance with the relevant law and its regulation.,A,A,112
320,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,"The ""conversion period"" is the time during which a producer cannot label its products as organic, but during which production is carried out using approved organic inputs.",A,A,171
321,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,A previous period can be recognised retroactively as being part of the conversion period if the producer has an analysis registry proving that only permitted inputs were used in the production process.,A,A,201
322,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,The length of the conversion period depends on the animal species (i.e.,A,A,71
323,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,the bigger the animal species the longer conversion period.,A,A,59
324,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,"Article 17 of the Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias establishes that, in the case of animals raised for meat.",A,A,188
325,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,"the conversion periods are at least 12 months for cattle, 6 months for pigs and 10 weeks for poultry.",A,A,101
326,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,The list of inputs permitted in organic production is also established in the Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias.,A,A,191
327,Reglamento de la Ley de Productos Orgánicos DOF-01- 04-2010,"Organic certifications are granted for a one-year period, which can be renewed if requirements continue to be fulfilled",A,A,119
328,"Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal DOF-21-05-2012 Acuerdo por el que se dan a conocer los Criterios generales aplicados por México para el establecimiento y modificación de requisitos en materia de sanidad e inocuidad animal, vegetal, acuicola y pesquera para la importación de mercancías reguladas por la Secretaría de Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentación a través del Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria. DOF-29-05-2014.","To import ""regulated products"" (mercancias reguladas), a Zoosanitary Import Certificate (Certificado Zoosanitario para Importación, CZI) must be granted by SAGARPA at Mexican entry points. In order to obtain a CZI, the requirements in the Zoosanitary Requirements Form (Hoja de Requisitos Zoosanitarios, HRZ) must be fulfilled. The HRZ has specific requirements for the importation of all ""regulated products"". The HRZs can be adapted to the specific sanitary conditions of exporting countries. ",A,A,495
329,"NOM-008-Z00- 1994, Especificaciones zoosanitarias para la construcción y equipamiento de establecimientos para el sacrificio de animales y los dedicados a la industrialización de productos cárnicos (Modificada)","To build and operate a Federal Inspection Type (Tipo Inspección Federal, TIF) abattoir and/or meat processing plant, records must be kept (e.g. monthly bacteriological tests, equipment lists, insect- and rodent-contro programmes, quality- control programmes). This NOM does not apply to municipal abattoirs, whose concessions are regulated under municipal legislation.",A,A,368
330,"NOM-008-Z00- 1994, Especificaciones zoosanitarias para la construcción y equipamiento de establecimientos para el sacrificio de animales y los dedicados a la industrialización de productos cárnicos (Modificada)","An authorisation to build and operate an abattoir and/or a meat processing plant relies on fulfilling the conditions for a functioning drainage system. If the drainage system is considered insufficient, the abattoir and/or processing plant's location will not be approved. It is not clear what is meant by an insufficient drainage system.",A,A,338
331,Ley de Bioseguridad de Organismos Genéticamente Modificados DOF 18-03-2005,"Genetically modified organisms (GMO) for human or animal consumption require the authorisation of the Ministry of Health Secretaria de Salud, SSA). This authorisation involves submitting a risk- assessment study to the SSA.",A,A,223
332,Ley de Bioseguridad de Organismos Genéticamente Modificados DOF 18-03-2005,"Any corporate entity wanting to import a GMO must provide the SSA with documentation that proves the GMO is authorised in the origin country. If this is not the case, the importer must disclose this situation. and provide the SSA with documentation that will allow it to decide whether to grant the import authorisation.",A,A,320
333,Ley Federal de Sanidad Animal DOF-07-06-2012,"Animals. their products and subproducts must come not only from authorised countries. but also from authorised establishments within authorised countries. For a country to be authorised, its veterinary services must be recognised by SAGARPA as working at least at to the same standards as in Mexico. SAGARPA, through SENASICA, authorises countries and establishments that export to Mexico.",A,A,389
334,Ley Federal de Sanidad Animal DOF-07-06-2012,"Animals. their products and subproducts must come not only from authorised countries. but also from authorised establishments within authorised countries. For a country to be authorised, its veterinary services must be recognised by SAGARPA as working at least at to the same standards as in Mexico. SAGARPA, through SENASICA, authorises countries and establishments that export to Mexico.",A,A,389
335,Ley Federal de Sanidad Animal DOF-07-06-2012,"Animals. their products and subproducts must come not only from authorised countries. but also from authorised establishments within authorised countries. For a country to be authorised, its veterinary services must be recognised by SAGARPA as working at least at to the same standards as in Mexico. SAGARPA, through SENASICA, authorises countries and establishments that export to Mexico.",A,A,389
336,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal DOF 21-05-2012,"SAGARPA can prohibit or restrict imports of animals and related products in case of a zoosanitary emergency; it can also establish quarantine or conduct inspections of products entering Mexico According to the Reglamento de la Lev Federal de Sanidad Animal a zoosanitary emergency is a situation where, due to the high prevalence of an animal disease, there is a risk of introduction of this disease into the Mexican territory, which consequently would have a large economic impact, reduce productivi",A,A,500
337,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal DOF 21-05-2012,"ty, or create a public-health risk.",A,A,35
338,Ley Federal de Sanidad Animal DOF-07-06-2012,"Live animals imported into Mexico must be checked abroad at points of verification, undergo zoosanitary inspection, and be certified and inspected at Mexican entry points. SAGARPA can determine in which cases the import of live animals is subject to inspection and certification only at Mexican entry points.",A,A,308
339,Ley Federal de Sanidad Animal DOF-07-06-2012,"Live animals imported into Mexico must be checked abroad at points of verification, undergo zoosanitary inspection, and be certified and inspected at Mexican entry points. SAGARPA can determine in which cases the import of live animals is subject to inspection and certification only at Mexican entry points.",A,A,308
340,Ley Federal de Sanidad Animal DOF-07-06-2012,"Live animals imported into Mexico must be checked abroad at points of verification, undergo zoosanitary inspection, and be certified and inspected at Mexican entry points. SAGARPA can determine in which cases the import of live animals is subject to inspection and certification only at Mexican entry points.",A,A,308
341,"NOM-030-Z00- 1995, Especificaciones y procedimientos para la verificación de carne, canales, visceras y despojos de importación en puntos de verificación zoosanitaria","Article 4.1 of this NOM states that 100% of imported lots of meat, carcasses, viscera and offal must be inspected, following the specifications laid out in the Zoosanitary Requirements Form (Hoja de requisitos zoosanitarios, HRZ). This restriction constitutes a ""third control"". in addition to the authorisation of foreign countries to export to Mexico, and the foreign establishment-by- establishment authorisation.",A,A,416
342,"NOM-030-Z00- 1995, Especificaciones y procedimientos para la verificación de carne, canales, visceras y despojos de importación en puntos de verificación zoosanitaria","Article 4.1 of this NOM states that 100% of imported lots of meat, carcasses, viscera and offal must be inspected, following the specifications laid out in the Zoosanitary Requirements Form (Hoja de requisitos zoosanitarios, HRZ). This restriction constitutes a ""third control"". in addition to the authorisation of foreign countries to export to Mexico, and the foreign establishment-by- establishment authorisation.",B,B,416
343,Ley de Desarrollo Rural Sustentable DOF 12-01-2012,"The Interministerial Commission for Sustainable Rural Development (Comisión Intersecretamal para el Desarrollo Rural Sustentable. CIDRS) will promote the creation of Product Systems, committees of the Mexican Council for Sustainable Rural Development (Consejo Mexicano para el Desarrollo Rural Sustentable, CMDRS). These committees will have among their obiectives to ""participate in the setting of tariffs, quotas and categories of imports",C,C,440
