,Law,Paragraph,Text,Category
194,Concession Contract 001/ANAC/2019 - Northeast Block,3.1.46.1,The concessionaire must not enter into a contract with its related parties for the exploitation of economic activities (generating non-tariff revenues) at the airport.,A3
195,Concession Contract 001/ANAC/2019 - Northeast Block,"3.1.47
3.1.49 ","Minimum capital requirement (Northeast Block):
BRL 2 388 894 032.97 (until the most important investments are concluded)
BRL 328 771 454.38 (after the most important investments are concluded)",A3
196,Concession Contract 001/ANAC/2019 - Northeast Block,"3.1.47
3.1.49 ","Minimum capital requirement (Northeast Block):
BRL 2 388 894 032.97 (until the most important investments are concluded)
BRL 328 771 454.38 (after the most important investments are concluded)",A4
197,Concession Contract 001/ANAC/2019 - Northeast Block,3.1.68,"The concessionaire is required to maintain a performance guarantee in the form of  a cash bond, public-debt securities, insurance or bank guarantee.",A3
198,Concession Contract 001/ANAC/2019 - Northeast Block,3.1.68,"The concessionaire is required to maintain a performance guarantee in the form of  a cash bond, public-debt securities, insurance or bank guarantee.",A4
199,Concession Contract 001/ANAC/2019 - Northeast Block,"4.4
4.5","The concessionaire is free to set the tariffs (boarding, connection, landing and parking tariffs), if in accordance to the revenue-cap, when applicable; however, it must follow the best practices of pricing airport services (such as those from ICAO, IATA and ACI) and base on objective and non-discriminatory criteria. In case of tariffs increase, stakeholders must be consulted in advance by the conecessionaire. ANAC may suspend tariffs changes if the concessionaire does not meet these requirements.

There are currently four different regimes for economic regulation of airport tariffs in Brazil: (i) price-cap regulation (first three rounds); (ii) price-cap regulation with possibility of tariff management (fourth round); (iii) price-revenue regulation (fifth and sixth rounds and Infraero, for large and mid-sized airports and scheduled and non-scheduled air services, except for air taxi); and (iv) light-handed regulation (fifth and sixth rounds and Infraero, for small airports and air taxi and general aviation). Each of these approaches allow more or less flexibility to the airport operator. ",B1
200,Concession Contract 001/ANAC/2019 - Northeast Block,"4.4
4.5","The concessionaire is free to set the tariffs (boarding, connection, landing and parking tariffs), if in accordance to the revenue-cap, when applicable; however, it must follow the best practices of pricing airport services (such as those from ICAO, IATA and ACI) and base on objective and non-discriminatory criteria. In case of tariffs increase, stakeholders must be consulted in advance by the conecessionaire. ANAC may suspend tariffs changes if the concessionaire does not meet these requirements.

There are currently four different regimes for economic regulation of airport tariffs in Brazil: (i) price-cap regulation (first three rounds); (ii) price-cap regulation with possibility of tariff management (fourth round); (iii) price-revenue regulation (fifth and sixth rounds and Infraero, for large and mid-sized airports and scheduled and non-scheduled air services, except for air taxi); and (iv) light-handed regulation (fifth and sixth rounds and Infraero, for small airports and air taxi and general aviation). Each of these approaches allow more or less flexibility to the airport operator. ",B4
201,Concession Contract 001/ANAC/2019 - Northeast Block,6.23.1,Only an event that causes an impact greater than 1% of the average annual gross revenue of the concessionaire over the three preceding years can allow a compensation through an extraordinary review procedure.,A3
202,Concession Contract 001/ANAC/2019 - Northeast Block,10.2,"The transfer of shares of the technical operator, reducing its stake to less than 15%, is subject to approval by ANAC. The technical operator is responsible for fulfilling the technical requirements at the auction (experience as airport operator).",A2
203,Concession Contract 001/ANAC/2019 - Northeast Block,10.3,"Merger, acquisition, de-merger or reduction of capital of the concessionaire is subject to approval by ANAC and CADE (if applicable).",A2
204,Concession Contract 001/ANAC/2019 - Northeast Block,10.7,"In the first five years, public offering of shares is prohibited and any share transfer is subject to prior approval by ANAC (either it leads to a change in the concessionaire’s control or not).
The transfer of shares of the technical operator, reducing its stake to less than 15%, is forbidden.",A2
205,Concession Contract 001/ANAC/2019 - Northeast Block,10.7,"In the first five years, public offering of shares is prohibited and any share transfer is subject to prior approval by ANAC (either it leads to a change in the concessionaire’s control or not).
The transfer of shares of the technical operator, reducing its stake to less than 15%, is forbidden.",A3
206,Concession Contract 001/ANAC/2019 - Northeast Block,10.7,"In the first five years, public offering of shares is prohibited and any share transfer is subject to prior approval by ANAC (either it leads to a change in the concessionaire’s control or not).
The transfer of shares of the technical operator, reducing its stake to less than 15%, is forbidden.",A4
207,Concession Contract 001/ANAC/2019 - Northeast Block,10.8.1 ,"After the first five years, share transfer involving an increase of airlines stakes is subject to prior approval by ANAC.",A2
208,Concession Contract 001/ANAC/2019 - Northeast Block,10.8.1 ,"After the first five years, share transfer involving an increase of airlines stakes is subject to prior approval by ANAC.",A3
209,Concession Contract 001/ANAC/2019 - Northeast Block,10.8.1 ,"After the first five years, share transfer involving an increase of airlines stakes is subject to prior approval by ANAC.",A4
210,Concession Contract 001/ANAC/2019 - Northeast Block,11.1,"The concessionaire may enter into agreement with third parties (air carriers, ground handling providers or other firms) for leasing airport areas. These agreements are governed by private law.",A3
211,Concession Contract 001/ANAC/2019 - Northeast Block,11.1,"The concessionaire may enter into agreement with third parties (air carriers, ground handling providers or other firms) for leasing airport areas. These agreements are governed by private law.",A4
212,Concession Contract 001/ANAC/2019 - Northeast Block,11.1.5,"The concessionaire may enter into contracts with airlines providing the build, maintenance or use of airport terminals or parts thereof, either exclusively or with priority. These contracts are subject to prior approval by ANAC",A1
213,Concession Contract 001/ANAC/2019 - Northeast Block,11.1.5,"The concessionaire may enter into contracts with airlines providing the build, maintenance or use of airport terminals or parts thereof, either exclusively or with priority. These contracts are subject to prior approval by ANAC",A2
214,Concession Contract 001/ANAC/2019 - Northeast Block,11.8.2,ANAC may dictate the revision of the agreement between the airport operator and the other parties if this is potentially harmful to passengers or if any relevant stakeholder was not consulted.,B1
215,Concession Contract 001/ANAC/2019 - Northeast Block,11.9.3 ,"If the price of lease of airport operating areas is not set on objective and non-discriminatory criteria, ANAC may regulate prices through price-cap, revenue-cap or other method, after a public consultation",B1
216,Concession Contract 001/ANAC/2019 - Northeast Block,11.11.1,"In case of shortage of areas for new entrants to provide ground handling services, the concessionaire must require ANAC’s authorisation to restrict the number of providers. ANAC may establish the minimum number of providers.",A2
217,Concession Contract 001/ANAC/2019 - Northeast Block,11.11.1,"In case of shortage of areas for new entrants to provide ground handling services, the concessionaire must require ANAC’s authorisation to restrict the number of providers. ANAC may establish the minimum number of providers.",A3
218,Concession Contract 001/ANAC/2019 - Northeast Block,11.11.2,"In case of shortage of areas for the current ground handling incumbent firms, the concessionaire must require ANAC’s authorisation to reduce the number of providers. ANAC may establish the minimum number of providers.",A2
219,Concession Contract 001/ANAC/2019 - Northeast Block,11.11.2,"In case of shortage of areas for the current ground handling incumbent firms, the concessionaire must require ANAC’s authorisation to reduce the number of providers. ANAC may establish the minimum number of providers.",A3
220,Concession Contract 001/ANAC/2019 - Northeast Block,11.11.3,"In case of ground handling service whose complexity, cost or environmental impact does not allow of division or duplication of the infrastructure, the concessionaire must request ANAC’s authorisation to provide this service exclusively.",A1
221,Concession Contract 001/ANAC/2019 - Northeast Block,11.11.3,"In case of ground handling service whose complexity, cost or environmental impact does not allow of division or duplication of the infrastructure, the concessionaire must request ANAC’s authorisation to provide this service exclusively.",A3
222,Concession Contract 001/ANAC/2019 - Northeast Block,11.11.4 ,"In order to promote competition, ANAC may determine that the concessionaire restrict companies operating aviation fuel pipeline and hydrants to provide distribution and resale of aviation fuel at the airport.",A3
223,Concession Contract 001/ANAC/2019 - Northeast Block,11.11.4.1 ,"The concessionaire must submit to ANAC the contracts involving construction and/or operation of fuel pipeline and hydrants, prior to their signature, for analysis and the adoption of appropriate measures, if any.",A2
224,Concession Contract 001/ANAC/2019 - Northeast Block,15.1-15.8,"Annually, the concessionaire must consult with users on relevant information of the airport operation, such as demand projections (aircrafts, passengers and cargo), revenue projections (tariff and non-tariff revenues), tariff pricing, operating costs and investments impacting users. In addition to the annual consultation, the concessionaire must consult with users concerning investment projects, proposals of prices of lease of airport areas and tariff changes.",B4
225,Notice of Auction 1/2020 (sixth round of airport concession),3.4 1.26,Foreign documents must be authenticated by the Brazilian Consular Office (or may be apostilled if the foreign country is party to the Apostille Convention) and translated by a certified translator,A4
226,Notice of Auction 1/2020 (sixth round of airport concession),"3.10
4.6.3","Foreign companies (if not part of a consortium) must have a legal representative resident and domiciled in Brazil, whose power is delegated by proxy.",A4
227,Notice of Auction 1/2020 (sixth round of airport concession),"3.16
3.17
3.18","Airlines and their related companies cannot participate in the auction (except in a consortium, with a maximum stake of 2% and without participation in corporate governance)",A3
228,Notice of Auction 1/2020 (sixth round of airport concession),"4.13
4.14","Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
South Block: at least BRL 74 522 967
Central Block: at least BRL 35 589 987
Northern  Block: at least BRL 36 344 646",A3
229,Notice of Auction 1/2020 (sixth round of airport concession),"4.13
4.14","Bidders must submit a bid bond in the form of a cash bond, public-debt securities, insurance or bank guarantee:
South Block: at least BRL 74 522 967
Central Block: at least BRL 35 589 987
Northern  Block: at least BRL 36 344 646",A4
230,Notice of Auction 1/2020 (sixth round of airport concession),4.34,"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A2
231,Notice of Auction 1/2020 (sixth round of airport concession),4.34,"Foreign companies, when operating in Brazil, must submit the authorisation for operating in the country (if an authorisation is required for the respective activity).",A4
232,Notice of Auction 1/2020 (sixth round of airport concession),"4.42.1
3.10.4",The bidder (or one member of a consortium) must prove a 5-year experience as airport operator having handled at least: (i) 5 million passengers (South Block) or (ii) 1 million passengers (Central and North Blocks). The airport operator must hold at least 15% stake in the consortium.,A3
233,Notice of Auction 1/2020 (sixth round of airport concession),6.16,"The shareholders of the concessionaire must not participate, either directly or indirectly, in the voting capital of airlines, except in a stake lower than 2% and without participation in corporate governance.",A3
234,Notice of Auction 1/2020 (sixth round of airport concession),6.16.1,"After the first five years of the concession, the participation of the concessionaire’s shareholders in the voting capital of airlines will be subject to prior approval by ANAC.",A3
235,Notice of Auction 1/2020 (sixth round of airport concession),6.2.4.6,"Minimum capital requirement:
South Block: initial fee + BRL 840 330 590.26
Central Block: initial fee + BRL 181 694 538.89
Northern  Block: initial fee + BRL 322 012 036.51",A3
236,Notice of Auction 1/2020 (sixth round of airport concession),6.2.4.6,"Minimum capital requirement:
South Block: initial fee + BRL 840 330 590.26
Central Block: initial fee + BRL 181 694 538.89
Northern  Block: initial fee + BRL 322 012 036.51",A4
237,Notice of Auction 1/2020 (sixth round of airport concession),6.2.7,"The winning group must have a performance guarantee:
South Block: BRL 179 073 844
Central Block: BRL 98 874 232
Northern  Block: BRL 108 772 532",A3
238,Notice of Auction 1/2020 (sixth round of airport concession),6.2.7,"The winning group must have a performance guarantee:
South Block: BRL 179 073 844
Central Block: BRL 98 874 232
Northern  Block: BRL 108 772 532",A4
239,Concession Contract 002/ANAC/2021-Sul - South Block,"2.6
2.7 ","The term of the concession is 30 years, extendable for up to 5 years (if it is necessary to restore the economic balance of the contract).",A1
240,Concession Contract 002/ANAC/2021-Sul - South Block,"2.6
2.7 ","The term of the concession is 30 years, extendable for up to 5 years (if it is necessary to restore the economic balance of the contract).",A3
241,Concession Contract 002/ANAC/2021-Sul - South Block,2.11,"The concessionaire must pay the concession fees to the Federal Government Branch: (i) an initial fee, concerning 100% of the minimum price + the bidder's premium, must be paid up to 15 days after signing the contract; and (ii) a variable fee must be paid annually, from the 5th year of the contract, corresponding to a percentage of the concessionaire's annual gross revenue (this percentage increases annually, up to 4,65%).",A3
242,Concession Contract 002/ANAC/2021-Sul - South Block,2.11,"The concessionaire must pay the concession fees to the Federal Government Branch: (i) an initial fee, concerning 100% of the minimum price + the bidder's premium, must be paid up to 15 days after signing the contract; and (ii) a variable fee must be paid annually, from the 5th year of the contract, corresponding to a percentage of the concessionaire's annual gross revenue (this percentage increases annually, up to 4,65%).",A4
243,Concession Contract 002/ANAC/2021-Sul - South Block,3.1.27,"The concessionaire must publish a report with information on the concession, especially statistical data on aircraft, passenger and cargo traffic, the amount collected with airport tariffs, as well as the amount owed to the federal government.",C2
244,Concession Contract 002/ANAC/2021-Sul - South Block,3.1.54.1,"The concessionaire must not enter into a contract with its related parties for the exploitation of economic activities at the airport (i.e., activities that may generate non-tariff revenues).

",A3
245,Concession Contract 002/ANAC/2021-Sul - South Block,"3.1.56
2.1.57.1 ","Minimum capital requirement (South Block):
BRL 2 968 330 590.26 (until the most important investments are concluded)
BRL 468 669 086.54 (after the most important investments are concluded).",A3
246,Concession Contract 002/ANAC/2021-Sul - South Block,"3.1.56
2.1.57.1 ","Minimum capital requirement (South Block):
BRL 2 968 330 590.26 (until the most important investments are concluded)
BRL 468 669 086.54 (after the most important investments are concluded).",A4
247,Concession Contract 002/ANAC/2021-Sul - South Block,3.1.75,"The concessionaire is required to maintain a performance guarantee in the form of  a cash bond, public-debt securities, insurance or bank guarantee.",A3
248,Concession Contract 002/ANAC/2021-Sul - South Block,3.1.75,"The concessionaire is required to maintain a performance guarantee in the form of  a cash bond, public-debt securities, insurance or bank guarantee.",A4
249,Concession Contract 002/ANAC/2021-Sul - South Block,"4.4
4.5 ","The concessionaire is free to set the tariffs (boarding, connection, landing and parking tariffs), if in accordance to the revenue-cap, when applicable; however, it must follow the best practices of pricing airport services (such as those from ICAO, IATA and ACI) and base on objective and non-discriminatory criteria. In case of tariffs increase, stakeholders must be consulted in advance by the concessionaire. ANAC may suspend tariffs changes if the concessionaire does not meet these requirements.",B1
250,Concession Contract 002/ANAC/2021-Sul - South Block,"4.4
4.5 ","The concessionaire is free to set the tariffs (boarding, connection, landing and parking tariffs), if in accordance to the revenue-cap, when applicable; however, it must follow the best practices of pricing airport services (such as those from ICAO, IATA and ACI) and base on objective and non-discriminatory criteria. In case of tariffs increase, stakeholders must be consulted in advance by the concessionaire. ANAC may suspend tariffs changes if the concessionaire does not meet these requirements.",B4
251,Concession Contract 002/ANAC/2021-Sul - South Block,6.24.1,Only an event that causes an impact greater than 1% of the average annual gross revenue of the concessionaire over the three preceding years can allow a compensation through an extraordinary review procedure.,A3
252,Concession Contract 002/ANAC/2021-Sul - South Block,10.2 ,"The transfer of shares of the technical operator, reducing its stake to less than 15%, is subject to approval by ANAC. The technical operator is responsible for fulfilling the technical requirements at the auction (experience as airport operator).",A2
253,Concession Contract 002/ANAC/2021-Sul - South Block,10.3,"Merger, acquisition or de-merger of the concessionaire is prohibited",A3
254,Concession Contract 002/ANAC/2021-Sul - South Block,10.3,"Merger, acquisition or de-merger of the concessionaire is prohibited",A4
255,Concession Contract 002/ANAC/2021-Sul - South Block,10.7,"In the first five years, public offering of shares is prohibited and any share transfer is subject to prior approval by ANAC (either it leads to a change in the concessionaire’s control or not).",A2
256,Concession Contract 002/ANAC/2021-Sul - South Block,10.7,"In the first five years, public offering of shares is prohibited and any share transfer is subject to prior approval by ANAC (either it leads to a change in the concessionaire’s control or not).",A3
257,Concession Contract 002/ANAC/2021-Sul - South Block,10.7,"In the first five years, public offering of shares is prohibited and any share transfer is subject to prior approval by ANAC (either it leads to a change in the concessionaire’s control or not).",A4
258,Concession Contract 002/ANAC/2021-Sul - South Block,10.8.1,"After the first five years, share transfer involving an increase of airlines stakes is subject to prior approval by ANAC.",A2
259,Concession Contract 002/ANAC/2021-Sul - South Block,10.8.1,"After the first five years, share transfer involving an increase of airlines stakes is subject to prior approval by ANAC.",A3
260,Concession Contract 002/ANAC/2021-Sul - South Block,10.8.1,"After the first five years, share transfer involving an increase of airlines stakes is subject to prior approval by ANAC.",A4
261,Concession Contract 002/ANAC/2021-Sul - South Block,11.1,"The concessionaire may enter into agreement with third parties (air carriers, ground handling providers or other firms) for leasing airport areas. These agreements are governed by private law.",A3
262,Concession Contract 002/ANAC/2021-Sul - South Block,11.1,"The concessionaire may enter into agreement with third parties (air carriers, ground handling providers or other firms) for leasing airport areas. These agreements are governed by private law.",A4
263,Concession Contract 002/ANAC/2021-Sul - South Block,11.1.5,"The concessionaire may enter into contracts with airlines providing the build, maintenance or use of airport terminals or parts thereof, either exclusively or with priority. These contracts are subject to prior approval by ANAC",A1
264,Concession Contract 002/ANAC/2021-Sul - South Block,11.1.5,"The concessionaire may enter into contracts with airlines providing the build, maintenance or use of airport terminals or parts thereof, either exclusively or with priority. These contracts are subject to prior approval by ANAC",A2
265,Concession Contract 002/ANAC/2021-Sul - South Block,11.8.1,ANAC may dictate the revision of the agreement between the airport operator and the other parties if this is potentially harmful to passengers or if any relevant stakeholder was not consulted.,B1
266,Concession Contract 002/ANAC/2021-Sul - South Block,11.10.2 ,"If the price of lease of airport operating areas is not set on objective and non-discriminatory criteria, ANAC may regulate prices through price-cap, revenue-cap or other method, after a public consultation",B1
267,Concession Contract 002/ANAC/2021-Sul - South Block,11.11.1,"In case of shortage of areas for new entrants to provide ground handling services, the concessionaire must require ANAC’s authorisation to restrict the number of providers. ANAC may establish the minimum number of providers.",A2
268,Concession Contract 002/ANAC/2021-Sul - South Block,11.11.1,"In case of shortage of areas for new entrants to provide ground handling services, the concessionaire must require ANAC’s authorisation to restrict the number of providers. ANAC may establish the minimum number of providers.",A3
269,Concession Contract 002/ANAC/2021-Sul - South Block,11.11.2,"In case of shortage of areas for the current ground handling incumbent firms, the concessionaire must require ANAC’s authorisation to reduce the number of providers. ANAC may establish the minimum number of providers.",A2
270,Concession Contract 002/ANAC/2021-Sul - South Block,11.11.2,"In case of shortage of areas for the current ground handling incumbent firms, the concessionaire must require ANAC’s authorisation to reduce the number of providers. ANAC may establish the minimum number of providers.",A3
271,Concession Contract 002/ANAC/2021-Sul - South Block,11.11.3,"In case of ground handling service whose complexity, cost or environmental impact does not allow of division or duplication of the infrastructure, the concessionaire must request ANAC’s authorisation to provide this service exclusively.",A1
272,Concession Contract 002/ANAC/2021-Sul - South Block,11.11.3,"In case of ground handling service whose complexity, cost or environmental impact does not allow of division or duplication of the infrastructure, the concessionaire must request ANAC’s authorisation to provide this service exclusively.",A3
273,Concession Contract 002/ANAC/2021-Sul - South Block,11.11.4.1 ,"In order to promote competition, ANAC may determine that the concessionaire restrict companies operating aviation fuel pipeline and hydrants to provide distribution and resale of aviation fuel at the airport.",A3
274,Concession Contract 002/ANAC/2021-Sul - South Block,11.11.4,"The concessionaire must submit to ANAC the contracts involving construction and/or operation of fuel pipeline and hydrants, prior to their signature, for analysis and the adoption of appropriate measures, if any.",A2
275,Concession Contract 002/ANAC/2021-Sul - South Block,15.1-15.9 ,"Annually, the concessionaire must consult with users on relevant information of the airport operation, such as demand projections (aircrafts, passengers and cargo), revenue projections (tariff and non-tariff revenues), tariff pricing, operating costs and investments impacting users. In addition to the annual consultation, the concessionaire must consult with users concerning investment projects, proposals of prices of lease of airport areas and tariff changes.",B4
276,Resolution 437/2017 by National Civil Aviation Agency - Airport Tariff ,Art. 1,The data on airfares registered at ANAC by air carriers may be accessed by anyone.,C2
277,Decree 92319/1986 - Foreign air transport companies,Art. 1,"Foreign air transport companies, providing either scheduled or non-scheduled services, must obtain prior authorisation from the Federal Government to operate in Brazil. They must have been designated [by the foreign government] in the form of bilateral agreements or, in the absence of these agreements, there must be an interest in obtaining the authorisation unilaterally.",A2
278,Decree 92319/1986 - Foreign air transport companies,Art. 1,"Foreign air transport companies, providing either scheduled or non-scheduled services, must obtain prior authorisation from the Federal Government to operate in Brazil. They must have been designated [by the foreign government] in the form of bilateral agreements or, in the absence of these agreements, there must be an interest in obtaining the authorisation unilaterally.",A4
279,Decree 92319/1986 - Foreign air transport companies,Art. 1,"Foreign air transport companies, providing either scheduled or non-scheduled services, must obtain prior authorisation from the Federal Government to operate in Brazil. They must have been designated [by the foreign government] in the form of bilateral agreements or, in the absence of these agreements, there must be an interest in obtaining the authorisation unilaterally.",B4
280,Decree 92319/1986 - Foreign air transport companies,"Art. 1, sole par.","A prior authorisation is also required  for the setting up of agencies, branches or subsidiaries of foreign companies that do not operate flights to Brazil. ",A2
281,Decree 92319/1986 - Foreign air transport companies,"Art. 1, sole par.","A prior authorisation is also required  for the setting up of agencies, branches or subsidiaries of foreign companies that do not operate flights to Brazil. ",A4
282,Decree 92319/1986 - Foreign air transport companies,"Art. 1, sole par.","A prior authorisation is also required  for the setting up of agencies, branches or subsidiaries of foreign companies that do not operate flights to Brazil. ",B4
283,Decree 92319/1986 - Foreign air transport companies,Art. 2,"The request for authorisation of a foreign company to operate in Brazil must be submitted to the Department of Civil Aviation [today, ANAC], indicating where its representative will be located, and  with the following documents attached: I - proof that the company is incorporated under the law of its country; II - the articles of incorporation of the company and subsequent amendments; III - the  company’s bylaws; IV - the list of shareholders of the company; V - copy of the formal document of the company that decided to operate in Brazil and fixed the capital assigned to the operations in the country;  VI - proof of appointment of a legal representative in Brazil; and VII - the last balance sheet of the company.",A3
284,Decree 92319/1986 - Foreign air transport companies,Art. 2,"The request for authorisation of a foreign company to operate in Brazil must be submitted to the Department of Civil Aviation [today, ANAC], indicating where its representative will be located, and  with the following documents attached: I - proof that the company is incorporated under the law of its country; II - the articles of incorporation of the company and subsequent amendments; III - the  company’s bylaws; IV - the list of shareholders of the company; V - copy of the formal document of the company that decided to operate in Brazil and fixed the capital assigned to the operations in the country;  VI - proof of appointment of a legal representative in Brazil; and VII - the last balance sheet of the company.",A4
285,Decree 92319/1986 - Foreign air transport companies,Art. 2,"The request for authorisation of a foreign company to operate in Brazil must be submitted to the Department of Civil Aviation [today, ANAC], indicating where its representative will be located, and  with the following documents attached: I - proof that the company is incorporated under the law of its country; II - the articles of incorporation of the company and subsequent amendments; III - the  company’s bylaws; IV - the list of shareholders of the company; V - copy of the formal document of the company that decided to operate in Brazil and fixed the capital assigned to the operations in the country;  VI - proof of appointment of a legal representative in Brazil; and VII - the last balance sheet of the company.",Administrative burden
286,Decree 92319/1986 - Foreign air transport companies,"Art. 2, par. 1","Minimum capital is required by the Department of Civil Aviation [today, ANAC] for a foreign company to operate in Brazil. For each case, the amount of minimum capital should be established in advance by the Department of Civil Aviation [today, ANAC].",A3
287,Decree 92319/1986 - Foreign air transport companies,"Art. 2, par. 1","Minimum capital is required by the Department of Civil Aviation [today, ANAC] for a foreign company to operate in Brazil. For each case, the amount of minimum capital should be established in advance by the Department of Civil Aviation [today, ANAC].",A4
288,Decree 92319/1986 - Foreign air transport companies,"Art. 2, par. 2",All foreign documents to be submitted must be authenticated in the foreign country and then by the Brazilian Consular Office. One copy of each document must be registered at the registry office in Brazil.,A3
289,Decree 92319/1986 - Foreign air transport companies,"Art. 2, par. 2",All foreign documents to be submitted must be authenticated in the foreign country and then by the Brazilian Consular Office. One copy of each document must be registered at the registry office in Brazil.,A4
290,Decree 92319/1986 - Foreign air transport companies,"Art. 2, par. 2",All foreign documents to be submitted must be authenticated in the foreign country and then by the Brazilian Consular Office. One copy of each document must be registered at the registry office in Brazil.,administrative burden
291,Decree 92319/1986 - Foreign air transport companies,Art. 3,"When issuing the authorisation for a foreign company to operate in Brazil, the Federal Government may establish restrictions on the operation of the foreign companies, in defence of national interests.",A3
292,Decree 92319/1986 - Foreign air transport companies,Art. 3,"When issuing the authorisation for a foreign company to operate in Brazil, the Federal Government may establish restrictions on the operation of the foreign companies, in defence of national interests.",B4
293,Decree 92319/1986 - Foreign air transport companies,Art. 6,"Foreign companies authorised to operate in Brazil are required to have a permanent legal representative in Brazil.
The proxy for a substitute of the legal representative must be approved by the Department of Civil Aviation [today, ANAC] and then registered at the Board of Trade.  ",A2
294,Decree 92319/1986 - Foreign air transport companies,Art. 6,"Foreign companies authorised to operate in Brazil are required to have a permanent legal representative in Brazil.
The proxy for a substitute of the legal representative must be approved by the Department of Civil Aviation [today, ANAC] and then registered at the Board of Trade.  ",A3
295,Decree 92319/1986 - Foreign air transport companies,Art. 6,"Foreign companies authorised to operate in Brazil are required to have a permanent legal representative in Brazil.
The proxy for a substitute of the legal representative must be approved by the Department of Civil Aviation [today, ANAC] and then registered at the Board of Trade.  ",Administrative Burden
296,Decree 92319/1986 - Foreign air transport companies,Art. 7,"Any changes to the foreign company’s bylaws is subject to approval by the Federal Government, to be effective in Brazil. ",A2
297,Decree 92319/1986 - Foreign air transport companies,Art. 8,"Foreign air transport companies not operating in Brazil, providing either scheduled or non-scheduled services, need an authorisation to set up agencies, branches, subsidiaries or offices in the country, in order to sell tickets in Brazil. The request must attach the following documents: I - proof that the company is incorporated under the law of its country; II - the articles of incorporation of the company and subsequent amendments; III - the company’s bylaws; V - copy of the formal document of the company that decided to operate in Brazil and fixed the capital assigned to the operations in the country; VI - proof of appointment of a legal representative in Brazil; and VII - the last balance sheet of the company. ",A2
298,Decree 92319/1986 - Foreign air transport companies,Art. 8,"Foreign air transport companies not operating in Brazil, providing either scheduled or non-scheduled services, need an authorisation to set up agencies, branches, subsidiaries or offices in the country, in order to sell tickets in Brazil. The request must attach the following documents: I - proof that the company is incorporated under the law of its country; II - the articles of incorporation of the company and subsequent amendments; III - the company’s bylaws; V - copy of the formal document of the company that decided to operate in Brazil and fixed the capital assigned to the operations in the country; VI - proof of appointment of a legal representative in Brazil; and VII - the last balance sheet of the company. ",A4
299,Decree 92319/1986 - Foreign air transport companies,Art. 8,"Foreign air transport companies not operating in Brazil, providing either scheduled or non-scheduled services, need an authorisation to set up agencies, branches, subsidiaries or offices in the country, in order to sell tickets in Brazil. The request must attach the following documents: I - proof that the company is incorporated under the law of its country; II - the articles of incorporation of the company and subsequent amendments; III - the company’s bylaws; V - copy of the formal document of the company that decided to operate in Brazil and fixed the capital assigned to the operations in the country; VI - proof of appointment of a legal representative in Brazil; and VII - the last balance sheet of the company. ",B4
300,Decree 92319/1986 - Foreign air transport companies,Art. 12,"Instead of setting up of agencies, branches or subsidiaries, foreign companies not operating in the country may designate a Brazilian company as a general representative in Brazil, which needs an authorisation to operate from the Ministry of Aeronautics [today, ANAC]. The request must attach the following documents: (a) the company’s bylaws and (b) the contract of representation, translated into Portuguese.",A2
301,Decree 92319/1986 - Foreign air transport companies,Art. 12,"Instead of setting up of agencies, branches or subsidiaries, foreign companies not operating in the country may designate a Brazilian company as a general representative in Brazil, which needs an authorisation to operate from the Ministry of Aeronautics [today, ANAC]. The request must attach the following documents: (a) the company’s bylaws and (b) the contract of representation, translated into Portuguese.",A4
302,Decree 92319/1986 - Foreign air transport companies,Art. 12,"Instead of setting up of agencies, branches or subsidiaries, foreign companies not operating in the country may designate a Brazilian company as a general representative in Brazil, which needs an authorisation to operate from the Ministry of Aeronautics [today, ANAC]. The request must attach the following documents: (a) the company’s bylaws and (b) the contract of representation, translated into Portuguese.",B4
303,Decree 92319/1986 - Foreign air transport companies,Art. 13,"The representative company of a foreign firm may advertise the latter’s services, but must not sell their tickets or services.",A3
304,Decree 92319/1986 - Foreign air transport companies,Art. 13,"The representative company of a foreign firm may advertise the latter’s services, but must not sell their tickets or services.",B4
305,Decree 92319/1986 - Foreign air transport companies,Art. 14,"Only foreign airlines authorised to operate in Brazil may have a general Sales Agent (which is a sales representative for an airline in the country). 
",A2
306,Decree 92319/1986 - Foreign air transport companies,Art. 14,"Only foreign airlines authorised to operate in Brazil may have a general Sales Agent (which is a sales representative for an airline in the country). 
",A3
307,Regulation (RBAC) 129/2012 by National Civil Aviation Agency - Foreign air transport companies,129.11,"Each foreign air carrier designated by the government of its country of origin must request ANAC the issuance of Operations Specifications 30 days before the intended beginning of scheduled operations in Brazil. The operations must be performed within Brazil in accordance with Operations Specifications issued by ANAC, which shall include (i) the airports to be used and (ii) the routes and airways to be flown, including rules and operating procedure necessary to prevent air collisions. ",A2
308,Regulation (RBAC) 129/2012 by National Civil Aviation Agency - Foreign air transport companies,129.11,"Each foreign air carrier designated by the government of its country of origin must request ANAC the issuance of Operations Specifications 30 days before the intended beginning of scheduled operations in Brazil. The operations must be performed within Brazil in accordance with Operations Specifications issued by ANAC, which shall include (i) the airports to be used and (ii) the routes and airways to be flown, including rules and operating procedure necessary to prevent air collisions. ",A3
309,Decree 6780/2009 - Civil Aviation Policy,"Annex, item 3.5",One of the strategic actions of the National Civil Aviation Policy is to ensure to firms incorporated under Brazilian law the exploitation of air transport in the national market.,A5
