,Law,Text,Category,Category_New,text_clean
869,Resolution 508/2019 by National Civil Aviation Agency - Airport Tariff - Infraero,"..................................""(NR)
""Art.",None,None,.................................. `` nr `` art
870,Law 6009/1973 - Use and exploitation of airports,"The services referred to in the caput may, at the discretion of the Aeronautics Command, be provided by other public and private agencies and entities.",None,None,the servic refer to in the caput may at the discret of the aeronaut command be provid by other public and privat agenc and entiti
871,Notice of Auction 2/2011 (second round of airport concession),The bidder (or one member of a consortium) must prove a 5-year experience as airport operator having handled at least 5 million passengers at least 1 year in the previous 10 years. The airport operator must hold at least 10% stake in the consortium.,A,A,the bidder or one member of a consortium must prove a 5-year experi a airport oper have handl at least million passeng at least year in the previou year the airport oper must hold at least stake in the consortium
872,Resolution 191/2011 by National Civil Aviation Agency - Data,"The term established in art. 1 of this Resolution is non-extendable, except at the Agency's own will due to technical conditions, and its non-fulfillment will characterize infraction.",None,None,the term establish in art of thi resolut is non-extend except at the agenc 's own will due to technic condit and it non-fulfil will character infract
873,Law 14133/2021 - New General Procurement Act,"In the bidding process, a margin of preference may be established for (i) manufactured goods and national services that meet Brazilian technical standards; (ii) recycled, recyclable or biodegradable goods. ",A,A,in the bid process a margin of prefer may be establish for i manufactur good and nation servic that meet brazilian technic standard ii recycl recycl or biodegrad good
874,"NOM-177-SSA1-2013,Que establece las pruebas y procedimientos para demostrar que un medicamento es intercambiable","In order to be considered as an interchangeable medicine the ""percentage of valuation"" of the test medicine must be within the limits stated in the Pharmacopoeia.",A,A,in order to be consid a an interchang medicin the `` percentag of valuat `` of the test medicin must be within the limit state in the pharmacopoeia
875,Ordinance 649/SAS/2016 by National Civil Aviation Agency - Codeshare,Companies not authorised to operate in Brazil must present the Air Operator Certificate. ,A,A,compani not authoris to oper in brazil must present the air oper certif
876,Law 7565/1986 - Brazilian Aeronautical Code,"Art. 130. The lessee is obliged I - to use the leased thing for the agreed upon purpose and to take care of it as if it were his own; II - to pay, punctually, the rent, in the agreed upon time, place and conditions; III - to return to lessor the leased item in the condition in which it was received, with the exception of natural wear and tear resulting from regular use.",None,None,art the lesse is oblig i to use the lea thing for the agre upon purpos and to take care of it a if it were hi own ii to pay punctual the rent in the agre upon time place and condit iii to return to lessor the lea item in the condit in which it wa receiv with the except of natur wear and tear result from regular use
877,Acuerdo que establece las medidas para la venta y producción de alcohol etílico y metanol.,"Purchasers of undenatured ethyl alcohol whose final destination is human use must provide COFEPRIS with a notice stating when their establishments will start operating or obtain a sanitary licence from COFEPRIS, and expressly indicate, as part of the description of its industrial process or production, how the purchaser will use undenatured ethyl alcohol.",A,A,purchas of undenatur ethyl alcohol whose final destin is human use must provid cofepri with a notic state when their establish will start oper or obtain a sanitari licenc from cofepri and expressli indic a part of the descript of it industri process or product how the purchas will use undenatur ethyl alcohol
878,Resolution 302/2014 by National Civil Aviation  Agency - Airport Area,"The following are hereby revoked I - Resolution 113, of September 22, 2009, published in the DOU of September 23, 2009,
Section 1, page 6; II - Resolution 170, of August 24, 2010, published in the DOU of August 25, 2010, Section 1,
page 12; III - Resolution No.",None,None,the follow are herebi revok i resolut of septemb publish in the dou of septemb section page ii resolut of august publish in the dou of august section page iii resolut no
879,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,o with the vessel owner.,A,A,o with the vessel owner
880,Resolution 192/2011 by National Civil Aviation Agency - Concessions,"on, errata, and replies to requests for clarification;",None,None,on erratum and repli to request for clarif
881,Lineamientos que deberán cumplir los medicamentos alopáticos de referencia y selección de medicamento de referencia internacional. (issued on 25 January 2016),"When a company holding a sanitary registry of a reference medicine decides to withdraw its product from the market, pharmaceutical companies that manufacture the generic version of that medicine are required to seek a reference medicine abroad in any of the seven countries recognised by COFEPRIS (as listed in the guidelines issued on 25 January 2016). According to market participants, producers of reference medicines withdraw them for various reasons, including as a business",A,A,when a compani hold a sanitari registri of a refer medicin decid to withdraw it product from the market pharmaceut compani that manufactur the gener version of that medicin are requir to seek a refer medicin abroad in ani of the seven countri recognis by cofepri a list in the guidelin issu on januari accord to market particip produc of refer medicin withdraw them for variou reason includ a a busi
882,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"To obtain the technical qualification, the company must present certificates of technical capacity that prove the suitability of the interested party or its technical manager to carry out the activities of a port operator, provided by two reputable entities linked to these activities.",administrativeburden,Others,to obtain the technic qualif the compani must present certif of technic capac that prove the suitabl of the interest parti or it technic manag to carri out the activ of a port oper provid by two reput entiti link to these activ
883,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to obtain technical qualifications, the company must provide certification of the technical capability of the party concerned or its technical manager to carry out the activities of the port operator, provided by two known entities associated with such activities.",administrativeburden,Others,in order to obtain technic qualif the compani must provid certif of the technic capabl of the parti concern or it technic manag to carri out the activ of the port oper provid by two known entiti associ with such activ
884,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to obtain the technical qualification, the company must provide technical capacity certificates demonstrating that the party concerned or its technical manager is able to carry out the activity of a port operator, provided that they are provided by two authorised entities related to those activities.",administrativeburden,Others,in order to obtain the technic qualif the compani must provid technic capac certif demonstr that the parti concern or it technic manag is abl to carri out the activ of a port oper provid that they are provid by two authoris entiti relat to those activ
885,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to obtain technical qualifications, the company must submit a certificate of technical competence demonstrating that the interested party or its technical manager is suitable for carrying out the activities of a port operator providing two reputable entities associated with these activities.",administrativeburden,Others,in order to obtain technic qualif the compani must submit a certif of technic compet demonstr that the interest parti or it technic manag is suitabl for carri out the activ of a port oper provid two reput entiti associ with these activ
886,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to obtain the technical qualification, the company shall provide evidence of technical capacity proving that the interested party or its technical manager is fit to carry out the activities of a port operator provided by two reputable entities associated with those activities.",administrativeburden,Others,in order to obtain the technic qualif the compani shall provid evid of technic capac prove that the interest parti or it technic manag is fit to carri out the activ of a port oper provid by two reput entiti associ with those activ
887,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to obtain the technical qualification, the company must provide certificates of technical capacity demonstrating that the interested party or its technical manager is fit to carry out the activities of a port operator, provided by two renowned entities associated with those activities.",administrativeburden,Others,in order to obtain the technic qualif the compani must provid certif of technic capac demonstr that the interest parti or it technic manag is fit to carri out the activ of a port oper provid by two renown entiti associ with those activ
888,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to qualify for technical competence, an undertaking shall provide technical capacity certificates demonstrating that the interested party or its technical manager is suitable for the activities of the port managing body, issued by two recognised entities associated with this activity.",administrativeburden,Others,in order to qualifi for technic compet an undertak shall provid technic capac certif demonstr that the interest parti or it technic manag is suitabl for the activ of the port manag bodi issu by two recognis entiti associ with thi activ
889,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to obtain the technical qualification, the company must submit certificates of technical capability that demonstrate the ability of the interested party or its technical manager to carry on the activities of a port operator, provided by two entities deemed to be related to those activities.",administrativeburden,Others,in order to obtain the technic qualif the compani must submit certif of technic capabl that demonstr the abil of the interest parti or it technic manag to carri on the activ of a port oper provid by two entiti deem to be relat to those activ
890,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to obtain the technical qualification, the undertaking must provide technical qualifications demonstrating the suitability of the interested party or its technical manager to carry out the activities of a port operator provided by two serious bodies in connection with those activities.",administrativeburden,Others,in order to obtain the technic qualif the undertak must provid technic qualif demonstr the suitabl of the interest parti or it technic manag to carri out the activ of a port oper provid by two seriou bodi in connect with those activ
891,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"To obtain technical resources, the company should present certificates on technical capacity that prove the interested person or its technical manager to meet a port operator's activities, connected by two righteous corporations.",administrativeburden,Others,to obtain technic resourc the compani should present certif on technic capac that prove the interest person or it technic manag to meet a port oper 's activ connect by two righteou corpor
892,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"It is like the company related to the present company, and it must be interested in such an party.",administrativeburden,Others,it is like the compani relat to the present compani and it must be interest in such an parti
893,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"The company had to present a technical capacity certificate that attests its interests or technical managers to carry out harbor operator activities, provided by two prominent agencies associated with this activity.",administrativeburden,Others,the compani had to present a technic capac certif that attest it interest or technic manag to carri out harbor oper activ provid by two promin agenc associ with thi activ
894,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to obtain the technical qualification, the company must submit certificates of technical capacity that demonstrate the suitability of the interested party or its technical manager to carry out the activities of a port operator, supplied by two respectable entities related to those activities.",administrativeburden,Others,in order to obtain the technic qualif the compani must submit certif of technic capac that demonstr the suitabl of the interest parti or it technic manag to carri out the activ of a port oper suppli by two respect entiti relat to those activ
895,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to be technically qualified, a company must submit technical capability certificates to confirm the suitability of the interested party or its technical manager to carry out the activities of the port operator, provided by two authoritative entities involved in the activity.",administrativeburden,Others,in order to be technic qualifi a compani must submit technic capabl certif to confirm the suitabl of the interest parti or it technic manag to carri out the activ of the port oper provid by two authorit entiti involv in the activ
896,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to obtain the technical qualification, the company must submit certificates of technical capacity demonstrating the suitability of the interested party or his technical manager to carry out the activities of a port operator, facilitated by two accredited entities linked to these activities.",administrativeburden,Others,in order to obtain the technic qualif the compani must submit certif of technic capac demonstr the suitabl of the interest parti or hi technic manag to carri out the activ of a port oper facilit by two accredit entiti link to these activ
897,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to obtain the technical competence, the company must present a certificate of technical capacity showing that the party concerned or its technical manager is appropriate to carry out the activities of a port operator, provided by two reputable entities associated with that activity.",administrativeburden,Others,in order to obtain the technic compet the compani must present a certif of technic capac show that the parti concern or it technic manag is appropri to carri out the activ of a port oper provid by two reput entiti associ with that activ
898,Ordinance by Ports Secretariat 111/2013 - Ports Administration,"In order to obtain a technical qualification, the company must provide certificates of technical competence demonstrating the suitability of the interested party or its technical manager to carry out the activities of the port operator which are provided by two reputable entities associated with these activities.",administrativeburden,Others,in order to obtain a technic qualif the compani must provid certif of technic compet demonstr the suitabl of the interest parti or it technic manag to carri out the activ of the port oper which are provid by two reput entiti associ with these activ
900,Concession Contract 001/ANAC/2019 - Northeast Block,"The concessionaire must pay the concession fees to the Federal Government Branch: (i) an initial fee must be paid at the time of signing the contract, concerning 100% of the minimum price + the bidder's premium; and (ii) a variable fee must be paid annually, from the 5th year of the contract, corresponding to a percentage of the concessionaire's annual gross revenue (this percentage increases annually, up to 8,16%).",A,A,"the concessionair must pay the concess fee to the feder govern branch i an initi fee must be paid at the time of sign the contract concern of the minimum price the bidder 's premium and ii a variabl fee must be paid annual from the 5th year of the contract correspond to a percentag of the concessionair 's annual gross revenu thi percentag increas annual up to 8,16"
901,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","COFECE's report, Miscelánea de obstáculos regulatorios a la competencia.",B,B,cofec 's report miscelánea de obstáculo regulatorio a la competencia
902,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The COFECE report, Miscelánea de obstáculos regulatorios a la competencia.",B,B,the cofec report miscelánea de obstáculo regulatorio a la competencia
903,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The report of the UNFATED, various species of syphia retro retro restroos.",B,B,the report of the unfat variou speci of syphia retro retro restroo
904,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","Report by Mr Coffece, Mr Miscelánea de obstáculos Governores on competition.",B,B,report by mr coffec mr miscelánea de obstáculo governor on competit
905,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","COFE's Report, MISCelania de usstáculos Computios de la Compencia.",B,B,cofe 's report miscelania de usstáculo computio de la compencia
906,"Absence of NOMs related to the classification of beef, pork and chicken carcasses; discrimination against non local meat producers","The report of the COFECE, Miscelánea de obtáculos regulatorios a la competitionncia.",B,B,the report of the cofec miscelánea de obtáculo regulatorio a la competitionncia
907,Decree 7624/2011 - Airport concession,"In the concession contracts, the clauses established in art. 23 of Law nº 8.987, of February 13, 1995, and in art. 5 of Law nº 11.079, of December 30, 2004, will be included, whenever applicable, besides clauses related to the necessary conditions for public agencies to act on the airfield.",None,None,in the concess contract the claus establish in art of law nº 8.987 of februari and in art of law nº 11.079 of decemb will be includ whenev applic besid claus relat to the necessari condit for public agenc to act on the airfield
908,Law 7565/1986 - Brazilian Aeronautical Code,"In order to ensure uniformity of treatment throughout the national territory, the construction, administration and operation are subject to the rules, instructions, coordination and control of the aeronautical authority, except as provided
in art.",None,None,in order to ensur uniform of treatment throughout the nation territori the construct administr and oper are subject to the rule instruct coordin and control of the aeronaut author except a provid in art
909,Resolution 192/2011 by National Civil Aviation Agency - Concessions,"The communication of the revocation, annulment, or cancellation of the authorization will be made in writing, by means of correspondence with acknowledgement of receipt, and by publication in the Federal Official Gazette.",None,None,the commun of the revoc annul or cancel of the author will be made in write by mean of correspond with acknowledg of receipt and by public in the feder offici gazett
910,"Oficio Circular No. B00.03.- 08/06/2016 de SENASICA Acuerdo por el que se da a conocer la campaña y las medidas zoosanitarias que deberán aplicarse para el diagnóstico, prevención, control y erradicación de la Influenza Aviar Notificable, en las zonas del territorio de los Estados Unidos Mexicanos en las que se encuentre presente esa enfermedad. DOF- 21-06-2011","It is necessary to fill in a Transport Notice (Aviso de Movilización, AM) in order to transport pigs, and their products and subproducts, and poultry, its products and subproducts from an area free of influenza.",A,A,it is necessari to fill in a transport notic aviso de movilización am in order to transport pig and their product and subproduct and poultri it product and subproduct from an area free of influenza
911,Concession Contract - São Paulo/Guarulhos International Airport,"Shareholders must not conclude any shareholders’ agreement, except for the one with Infraero (whose conclusion is required by the notice of auction).",A,A,sharehold must not conclud ani sharehold ’ agreement except for the one with infraero whose conclus is requir by the notic of auction
912,Law 7565/1986 - Brazilian Aeronautical Code,"Airports constitute universalities, equated to federal public goods, as long as their specific destination, although the Union does not own all the properties on which they are located. The States, Municipalities, entities of the Indirect Administration, or private individuals may contribute with real estate or goods for the construction of airports, through the constitution of autonomous assets that will be considered as a universality.",None,None,airport constitut univers equat to feder public good a long a their specif destin although the union doe not own all the properti on which they are locat the state municip entiti of the indirect administr or privat individu may contribut with real estat or good for the construct of airport through the constitut of autonom asset that will be consid a a univers
913,Law 7565/1986 - Brazilian Aeronautical Code,The mortgage will be constituted by registration of the contract with the Brazilian Aeronautical Registry and with an entry on the respective registration certificate.,None,None,the mortgag will be constitut by registr of the contract with the brazilian aeronaut registri and with an entri on the respect registr certif
914,Law 7565/1986 - Brazilian Aeronautical Code,"The liability of the operator will be limited: I - for aircraft with a maximum weight of 1,000kg (one thousand kilograms), to an amount corresponding to 3,500 (three thousand and five hundred) OTN - National Treasury Bonds; II - for aircraft weighing more than 1,000kg (one thousand kilograms), to the amount corresponding to 3,500 (three thousand and five hundred) OTN - National Treasury Bonds, increased by 1/10 (one tenth) of the value of each OTN - National Treasury Bond per kilogram that excee",None,None,"the liabil of the oper will be limit i for aircraft with a maximum weight of 1,000kg one thousand kilogram to an amount correspond to 3,500 three thousand and five hundr otn nation treasuri bond ii for aircraft weigh more than 1,000kg one thousand kilogram to the amount correspond to 3,500 three thousand and five hundr otn nation treasuri bond increas by 1/10 one tenth of the valu of each otn nation treasuri bond per kilogram that exce"
915,Law 7565/1986 - Brazilian Aeronautical Code,"The payment of remuneration will be mandatory for anyone using an aircraft without the consent of its owner or operator. Sole Paragraph. If the negligence of the owner or exploiter is proven, they will be jointly liable for the compensation.",None,None,the payment of remuner will be mandatori for anyon use an aircraft without the consent of it owner or oper sole paragraph if the neglig of the owner or exploit is proven they will be jointli liabl for the compens
916,Resolution 440/2017 by National Civil Aviation Agency - Register,"The following amounts of fines in reais (R$) will be applied to the airport operator, with their respective values for mitigating and aggravating situations, when they intentionally incur:",None,None,the follow amount of fine in reai r will be appli to the airport oper with their respect valu for mitig and aggrav situat when they intent incur
917,Normative resolution 01/2015 by ANTAQ  - cargo,"The period of authorisation for chartering a foreign vessel, in cases where there is a record or information of future availability of a national vessel, will be limited to the period of unavailability of a Brazilian-flagged vessel.",A,A,the period of authoris for charter a foreign vessel in case where there is a record or inform of futur avail of a nation vessel will be limit to the period of unavail of a brazilian-flag vessel
918,Regulation (RBAC) 61/2012 by National Civil Aviation Agency - Pilot licences,"To fly an aircraft registered in Brazil, the pilot must hold an appropriate licence according to this Regulation. To fly in the Brazilian airspace an aircraft registered abroad, the flight crew must hold an appropriate licence according to the regulation of the country where the aircraft is registered.",A,A,to fli an aircraft regist in brazil the pilot must hold an appropri licenc accord to thi regul to fli in the brazilian airspac an aircraft regist abroad the flight crew must hold an appropri licenc accord to the regul of the countri where the aircraft is regist
919,Decree 8.033/2013- Decree-Law of Ports,"Those interested in obtaining a port installation authorisation may apply to ANTAQ, at any time, upon presentation of documents, among others that may be required by ANTAQ: declaration of adequacy of the enterprise to the planning guidelines and policies of the port sector, issued by the granting authority; descriptive memorial of the facilities, with the specifications established by ANTAQ, title deed, registration of occupation, certificate of tenure or assignment contract under real law, or o",A,A,those interest in obtain a port instal authoris may appli to antaq at ani time upon present of document among other that may be requir by antaq declar of adequaci of the enterpris to the plan guidelin and polici of the port sector issu by the grant author descript memori of the facil with the specif establish by antaq titl deed registr of occup certif of tenur or assign contract under real law or o
920,Concession Contract 001/ANAC/2019 - Northeast Block,"The concessionaire is free to set the tariffs (boarding, connection, landing and parking tariffs), if in accordance to the revenue-cap, when applicable; however, it must follow the best practices of pricing airport services (such as those from ICAO, IATA and ACI) and base on objective and non-discriminatory criteria.",B,B,the concessionair is free to set the tariff board connect land and park tariff if in accord to the revenue-cap when applic howev it must follow the best practic of price airport servic such a those from icao iata and aci and base on object and non-discriminatori criterion
921,Concession Contract 001/ANAC/2019 - Northeast Block,"However, the concessionaire is free to set tariffs (passenger, connection, landing and parking charges), if this is in line with the level of revenue, if necessary, but must comply with best practice in the pricing of airport services (such as ICAO, IATA and ACI) and be based on objective and non-discriminatory criteria.",B,B,howev the concessionair is free to set tariff passeng connect land and park charg if thi is in line with the level of revenu if necessari but must compli with best practic in the price of airport servic such a icao iata and aci and be base on object and non-discriminatori criterion
922,Concession Contract 001/ANAC/2019 - Northeast Block,"The concessionaire is free to set rates (shipping, connection, landing and parking fees), if they conform to the income limit, where appropriate; however, it should follow best pricing practices for airport services (such as ICAO, IATA and ACI) and be based on objective and non-discriminatory criteria.",B,B,the concessionair is free to set rate ship connect land and park fee if they conform to the incom limit where appropri howev it should follow best price practic for airport servic such a icao iata and aci and be base on object and non-discriminatori criterion
923,Concession Contract 001/ANAC/2019 - Northeast Block,"The concession holder is free to set the tariffs (entry, connection, landing and parking charges) if this is in line with the revenue ceiling, if applicable; however, it must follow best practices for the pricing of airport services (such as those of ICAO, IATA and ACI) and are based on objective and non-discriminatory criteria.",B,B,the concess holder is free to set the tariff entri connect land and park charg if thi is in line with the revenu ceil if applic howev it must follow best practic for the price of airport servic such a those of icao iata and aci and are base on object and non-discriminatori criterion
924,Concession Contract 001/ANAC/2019 - Northeast Block,"The concessionaire is free to set charges (departure fees, connection charges, landing charges and parking charges), where appropriate on the basis of the revenue ceiling; however, it must follow best practice in terms of airport services prices (such as ICAO, IATA and ACI) and be based on objective and non-discriminatory criteria.",B,B,the concessionair is free to set charg departur fee connect charg land charg and park charg where appropri on the basi of the revenu ceil howev it must follow best practic in term of airport servic price such a icao iata and aci and be base on object and non-discriminatori criterion
925,Concession Contract 001/ANAC/2019 - Northeast Block,"It had to follow the best practices of airport service (like the ones from ICAO, IATA and ACI) and the basis on purpose and non-discrimination criteria.",B,B,it had to follow the best practic of airport servic like the one from icao iata and aci and the basi on purpos and non-discrimin criterion
926,Resolution 191/2011 by National Civil Aviation Agency - Data,"ANAC may, at any time, conduct audits, request the presentation of any documents, electronic records, air tickets, and other information necessary to verify the consistency and accuracy of the registered data.",None,None,anac may at ani time conduct audit request the present of ani document electron record air ticket and other inform necessari to verifi the consist and accuraci of the regist data
927,Ordinance 649/SAS/2016 by National Civil Aviation Agency - Codeshare,Foreign companies must be designated by the respective countries to operate in Brazil.,B,B,foreign compani must be design by the respect countri to oper in brazil
929,Ordinance 649/SAS/2016 by National Civil Aviation Agency - Codeshare,• The countries concerned must appoint foreign companies to work in Brazil.,B,B,• the countri concern must appoint foreign compani to work in brazil
930,Ordinance 649/SAS/2016 by National Civil Aviation Agency - Codeshare,"In order to operate in Brazil, foreign companies must be appointed by the respective countries.",B,B,in order to oper in brazil foreign compani must be appoint by the respect countri
931,Ordinance 649/SAS/2016 by National Civil Aviation Agency - Codeshare,"To work in Brazil, foreigners must be selected from various countries.",B,B,to work in brazil foreign must be select from variou countri
932,Ordinance 649/SAS/2016 by National Civil Aviation Agency - Codeshare,. Foreign companies must be designated by the countries concerned to operate in Brazil.,B,B,foreign compani must be design by the countri concern to oper in brazil
933,Ley de Desarrollo Rural Sustentable DOF 12.01-2012,"The federal government can grant subsidies to national producers in order to offset inequalities between them and foreign producers. To grant these subsidies, the government assesses whether products are basic and strategic for food sovereignty. According to Article 179 of the Lev de Desarrollo Rural Sustentable, beef, pork and chicken are considered to be basic products and strategic for food sovereignty.",A,A,the feder govern can grant subsidi to nation produc in order to offset inequ between them and foreign produc to grant these subsidi the govern ass whether product are basic and strateg for food sovereignti accord to articl of the lev de desarrollo rural sustent beef pork and chicken are consid to be basic product and strateg for food sovereignti
934,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The Brazilian shipping company must maintain the technical, economic and financial, as well as legal and tax requirements necessary for the continuation of the authorised navigation operation.",Administrativeburden,Others,the brazilian ship compani must maintain the technic econom and financi a well a legal and tax requir necessari for the continu of the authoris navig oper
935,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The Brazilian shipping company must maintain the technical, economic and financial requirements, as well as the legal and fiscal requirements necessary to continue the authorized navigation process.",Administrativeburden,Others,the brazilian ship compani must maintain the technic econom and financi requir a well a the legal and fiscal requir necessari to continu the author navig process
936,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The Brazilian shipping company must maintain the technical, economic and financial and legal and tax requirements necessary to continue authorised shipping.",Administrativeburden,Others,the brazilian ship compani must maintain the technic econom and financi and legal and tax requir necessari to continu authoris ship
937,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"the Brazilian shipping company must maintain the technical, economic and financial requirements and the legal and tax requirements necessary for the continuation of the authorised navigation operation.",Administrativeburden,Others,the brazilian ship compani must maintain the technic econom and financi requir and the legal and tax requir necessari for the continu of the authoris navig oper
938,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The Brazilian shipping company shall maintain the technical, economic and financial requirements, as well as the legal and tax requirements necessary for the continuation of the authorised navigation operation.",Administrativeburden,Others,the brazilian ship compani shall maintain the technic econom and financi requir a well a the legal and tax requir necessari for the continu of the authoris navig oper
939,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The Brazilian shipping company must maintain the technical, economic and financial requirements as well as the legal and fiscal requirements necessary for the continuation of authorised navigation activities.",Administrativeburden,Others,the brazilian ship compani must maintain the technic econom and financi requir a well a the legal and fiscal requir necessari for the continu of authoris navig activ
940,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The Brazilian shipping company must maintain the technical, financial, legal and fiscal requirements necessary for the continuation of authorised navigation.",Administrativeburden,Others,the brazilian ship compani must maintain the technic financi legal and fiscal requir necessari for the continu of authoris navig
941,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The Brazilian shipping company must maintain the technical, economic and financial requirements, as well as the legal and fiscal requirements necessary for the continuation of the authorized navigation operation.",Administrativeburden,Others,the brazilian ship compani must maintain the technic econom and financi requir a well a the legal and fiscal requir necessari for the continu of the author navig oper
942,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The Brazilian shipping company must maintain the technical, economic and financial as well as legal and tax requirements necessary for the continuation of the approved navigation operation.",Administrativeburden,Others,the brazilian ship compani must maintain the technic econom and financi a well a legal and tax requir necessari for the continu of the approv navig oper
943,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"In addition, there should be a need for law and taxes to be carried out in harmony with the Law.",Administrativeburden,Others,in addit there should be a need for law and tax to be carri out in harmoni with the law
944,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"More than all the company are entitled to keep the European Union, as well as well as the tax authorities of this action must be used to stay in each Member State.",Administrativeburden,Others,more than all the compani are entitl to keep the european union a well a well a the tax author of thi action must be use to stay in each member state
945,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"Brazil's shipping company had to maintain the technical, economic, and financial needs, as well as the tax and legal requirements needed to continue the official navigational operation.",Administrativeburden,Others,brazil 's ship compani had to maintain the technic econom and financi need a well a the tax and legal requir need to continu the offici navig oper
947,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"• The Brazilian shipping company must comply with the technical, economic and financial requirements as well as the legal and tax requirements necessary for the continuation of the authorized navigation operation.",Administrativeburden,Others,• the brazilian ship compani must compli with the technic econom and financi requir a well a the legal and tax requir necessari for the continu of the author navig oper
949,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The Brazilian shipping company must maintain the technical, economic and financial, as well as the legal and fiscal requirements necessary to continue the approved navigation.",Administrativeburden,Others,the brazilian ship compani must maintain the technic econom and financi a well a the legal and fiscal requir necessari to continu the approv navig
950,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,"The Brazilian shipping company must maintain the technical, economic and financial, as well as legal and tax requirements necessary for the continuation of the authorised shipping operation.",Administrativeburden,Others,the brazilian ship compani must maintain the technic econom and financi a well a legal and tax requir necessari for the continu of the authoris ship oper
951,Law 7565/1986 - Brazilian Aeronautical Code,"Secondly, the value of the things recovered.",None,None,secondli the valu of the thing recov
952,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"Each one of the Mexican states, except Mexico City, has a CEFPP.",C,C,each one of the mexican state except mexico citi ha a cefpp
953,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"Each of the Mexican states, with the exception of Mexico City, has CEFPP.",C,C,each of the mexican state with the except of mexico citi ha cefpp
954,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,""" Every one of the Mexican states, except Mexico City, has a protege.",C,C,`` everi one of the mexican state except mexico citi ha a proteg
955,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,© Each of the Mexican states except Mexico City has a CEFPP.,C,C,© each of the mexican state except mexico citi ha a cefpp
956,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"Each of the Mexican states, except Mexico City, has a CEFPP.",C,C,each of the mexican state except mexico citi ha a cefpp
957,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"""Every one of the Mexican States, except Mexico City, has a CEFPP.""",C,C,`` everi one of the mexican state except mexico citi ha a cefpp ``
958,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"• Every state in Mexico, except Mexico City, has a CEFPP.",C,C,• everi state in mexico except mexico citi ha a cefpp
959,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"Each of the Mexican states, with the exception of Mexico City, has a CSFP.",C,C,each of the mexican state with the except of mexico citi ha a csfp
961,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"In addition to Mexico City, each has CFP in Mexico.",C,C,in addit to mexico citi each ha cfp in mexico
