,Unnamed: 0,Law,Paragraph,Text,Category,text_clean
504,504,Law 14133/2021 - New General Procurement Act,Art. 67 ,"To obtain the technical-professional and the technical-operational qualification, the company may be required to present, among other documents: (i) a declaration of technical liability to equivalent works or services, issued by a professional registered with the respective professional association, when applicable (item I); (ii) certificates issued by the respective  professional association, when applicable, demonstrating operational capacity in the execution of similar services (item II).",A,to obtain the technical-profession and the technical-oper qualif the compani may be requir to present among other document i a declar of technic liabil to equival work or servic issu by a profession regist with the respect profession associ when applic item i ii certif issu by the respect profession associ when applic demonstr oper capac in the execut of similar servic item ii
505,505,Law 14133/2021 - New General Procurement Act,"Art. 69, par. 1","At the discretion of the Administration, bidders may be requested to submit a statement issued by an accountant to prove their economic and financial qualification.",A,at the discret of the administr bidder may be request to submit a statement issu by an account to prove their econom and financi qualif
506,506,Law 14133/2021 - New General Procurement Act,"Art. 69, par. 1","At the discretion of the Administration, bidders may be requested to submit a statement issued by an accountant to prove their economic and financial qualification.",A,at the discret of the administr bidder may be request to submit a statement issu by an account to prove their econom and financi qualif
507,507,Law 14133/2021 - New General Procurement Act,"Art. 69, par. 3","The list of commitments assumed by the bidder that imply a decrease in the operating capacity or absorption of financial availability may be required, excluding already executed instalments of signed contracts.",A,the list of commit assum by the bidder that impli a decreas in the oper capac or absorpt of financi avail may be requir exclud alreadi execut instal of sign contract
508,508,Law 14133/2021 - New General Procurement Act,"Art. 69, par. 4",Minimum capital or minimum equity (up to 10% of the estimated value of the contract) may be required for purchases of future delivery and the execution of works and services.,A,minimum capit or minimum equiti up to of the estim valu of the contract may be requir for purchas of futur deliveri and the execut of work and servic
509,509,Law 14133/2021 - New General Procurement Act,"Art. 69, par. 4",Minimum capital or minimum equity (up to 10% of the estimated value of the contract) may be required for purchases of future delivery and the execution of works and services.,A,minimum capit or minimum equiti up to of the estim valu of the contract may be requir for purchas of futur deliveri and the execut of work and servic
510,510,Law 14133/2021 - New General Procurement Act,"Art. 80, par. 10",The procurement authority may exclude non-prequalified bidders from bids.,A,the procur author may exclud non-prequalifi bidder from bid
511,511,Law 14133/2021 - New General Procurement Act,"Art. 80, par. 10",The procurement authority may exclude non-prequalified bidders from bids.,A,the procur author may exclud non-prequalifi bidder from bid
512,512,Law 14133/2021 - New General Procurement Act,"Art. 87, par. 3",The procurement authority may exclude non-registered bidders from bids.,A,the procur author may exclud non-regist bidder from bid
513,513,Law 14133/2021 - New General Procurement Act,Art. 96,"At the discretion of the procurement authority, a performance guarantee (cash bond, insurance or bank guarantee) may be required for the procurement of works, services and supplies (when provided for in the public notice).",A,at the discret of the procur author a perform guarante cash bond insur or bank guarante may be requir for the procur of work servic and suppli when provid for in the public notic
514,514,Law 14133/2021 - New General Procurement Act,Art. 96,"At the discretion of the procurement authority, a performance guarantee (cash bond, insurance or bank guarantee) may be required for the procurement of works, services and supplies (when provided for in the public notice).",A,at the discret of the procur author a perform guarante cash bond insur or bank guarante may be requir for the procur of work servic and suppli when provid for in the public notic
515,515,Law 14133/2021 - New General Procurement Act,Art. 99,"When contracting large-scale engineering works and services, the provision of a guarantee may be required, in the form of insurance guarantee, in a percentage equivalent to up to 30% of the initial value of the contract.",A,when contract large-scal engin work and servic the provis of a guarante may be requir in the form of insur guarante in a percentag equival to up to of the initi valu of the contract
516,516,Law 14133/2021 - New General Procurement Act,Art. 99,"When contracting large-scale engineering works and services, the provision of a guarantee may be required, in the form of insurance guarantee, in a percentage equivalent to up to 30% of the initial value of the contract.",A,when contract large-scal engin work and servic the provis of a guarante may be requir in the form of insur guarante in a percentag equival to up to of the initi valu of the contract
517,517,Law 14133/2021 - New General Procurement Act,Art 102,"In the procurement of engineering works and services, a performance guarantee, in the form of an insurance guarantee, may be required, and it must provide that the insurer must assume the contract in the event of default by the contractor. ",A,in the procur of engin work and servic a perform guarante in the form of an insur guarante may be requir and it must provid that the insur must assum the contract in the event of default by the contractor
518,518,Law 14133/2021 - New General Procurement Act,Art 102,"In the procurement of engineering works and services, a performance guarantee, in the form of an insurance guarantee, may be required, and it must provide that the insurer must assume the contract in the event of default by the contractor. ",A,in the procur of engin work and servic a perform guarante in the form of an insur guarante may be requir and it must provid that the insur must assum the contract in the event of default by the contractor
519,519,Law 14133/2021 - New General Procurement Act,"Art. 121 par. 3, item I","The Public Administration may require a cash bond, a bank or an insurance guarantee covering severance payments in ongoing service contracts for the provision of labour.",A,the public administr may requir a cash bond a bank or an insur guarante cover sever payment in ongo servic contract for the provis of labour
520,520,Law 14133/2021 - New General Procurement Act,"Art. 121 par. 3, item I","The Public Administration may require a cash bond, a bank or an insurance guarantee covering severance payments in ongoing service contracts for the provision of labour.",A,the public administr may requir a cash bond a bank or an insur guarante cover sever payment in ongo servic contract for the provis of labour
521,521,Law 14133/2021 - New General Procurement Act,Art. 122,"The procurement authority may prohibit, restrict or establish conditions for subcontracting.",A,the procur author may prohibit restrict or establish condit for subcontract
522,522,Law 13303/2016 - Law of SOEs,"Art. 28, par. 3","Situations in which contracts may be directly awarded by SOEs: (i) sale or provision of goods or services comprising the corporate purpose of the SOE; (ii) choice of the private partner involves specific characteristics, preventing a competitive procedure.",A,situat in which contract may be directli award by soe i sale or provis of good or servic compris the corpor purpos of the soe ii choic of the privat partner involv specif characterist prevent a competit procedur
523,523,Law 13303/2016 - Law of SOEs,Art. 29,"Situations in which contracts may be directly awarded (18 different cases), among which: (i) low-value contracts: (a) contracts comprising engineering works and services, up to BRL 100 000 (around EUR 15 500); and (b) contracts comprising other services, purchases and sells, up to BRL 50 000 (around EUR 7 700); (ii) when the bidding procedure fails (no bid submissions) and it is not possible to open a new public tender; (iii) when the bid values are higher than the market price; (iv) emergency situations.",A,situat in which contract may be directli award differ case among which i low-valu contract a contract compris engin work and servic up to brl around eur and b contract compris other servic purchas and sell up to brl around eur ii when the bid procedur fail no bid submiss and it is not possibl to open a new public tender iii when the bid valu are higher than the market price iv emerg situat
524,524,Law 13303/2016 - Law of SOEs,Art. 47,"In the procurement of goods, the SOE may: 
I - indicate a brand or model, in the following cases: a) due to the need to standardise the object of the contract; b) when a given brand or model marketed by more than one supplier constitutes the only one that can fulfil the object of the contract; c) when the description of the object can be better understood by the identification of a certain brand or model, only as a reference; 
II - require a sample of the goods in the pre-qualification procedure and when assessing offers.",A,in the procur of good the soe may i indic a brand or model in the follow case a due to the need to standardis the object of the contract b when a given brand or model market by more than one supplier constitut the onli one that can fulfil the object of the contract c when the descript of the object can be better understood by the identif of a certain brand or model onli a a refer ii requir a sampl of the good in the pre-qualif procedur and when ass offer
525,525,Law 13303/2016 - Law of SOEs,Art. 47,"In the procurement of goods, the SOE may: 
I - indicate a brand or model, in the following cases: a) due to the need to standardise the object of the contract; b) when a given brand or model marketed by more than one supplier constitutes the only one that can fulfil the object of the contract; c) when the description of the object can be better understood by the identification of a certain brand or model, only as a reference; 
II - require a sample of the goods in the pre-qualification procedure and when assessing offers.",B,in the procur of good the soe may i indic a brand or model in the follow case a due to the need to standardis the object of the contract b when a given brand or model market by more than one supplier constitut the onli one that can fulfil the object of the contract c when the descript of the object can be better understood by the identif of a certain brand or model onli a a refer ii requir a sampl of the good in the pre-qualif procedur and when ass offer
526,526,Law 13303/2016 - Law of SOEs,"Art. 58, item IV",Bidders must submit a bid bond in the case of contracts being awarded to the highest bid.,A,bidder must submit a bid bond in the case of contract be award to the highest bid
527,527,Law 13303/2016 - Law of SOEs,Art. 64 par 2,The SOE may exclude non-prequalified bidders from its bids.,A,the soe may exclud non-prequalifi bidder from it bid
528,528,Law 13303/2016 - Law of SOEs,Art. 64 par 2,The SOE may exclude non-prequalified bidders from its bids.,A,the soe may exclud non-prequalifi bidder from it bid
529,529,Law 13303/2016 - Law of SOEs,Art. 70,"A performance guarantee may be required for the procurement of works, services and supplies. The party may choose between cash bond, insurance or bank guarantee.",A,a perform guarante may be requir for the procur of work servic and suppli the parti may choos between cash bond insur or bank guarante
530,530,Law 13303/2016 - Law of SOEs,Art. 70,"A performance guarantee may be required for the procurement of works, services and supplies. The party may choose between cash bond, insurance or bank guarantee.",A,a perform guarante may be requir for the procur of work servic and suppli the parti may choos between cash bond insur or bank guarante
531,531,Law 11079/2004 - Public-Private Partnership,"Art. 5, item VIII","The private partner of a PPP must submit a performance guarantee: (i) up to 10% of the value of the contract or (ii) in case of sponsored concessions (those in which the public partner grants additional payments, besides the user fees), up to the value of the work for which the PPP contract is awarded.",A,the privat partner of a ppp must submit a perform guarante i up to of the valu of the contract or ii in case of sponsor concess those in which the public partner grant addit payment besid the user fee up to the valu of the work for which the ppp contract is award
532,532,Law 11079/2004 - Public-Private Partnership,"Art. 5, item VIII","The private partner of a PPP must submit a performance guarantee: (i) up to 10% of the value of the contract or (ii) in case of sponsored concessions (those in which the public partner grants additional payments, besides the user fees), up to the value of the work for which the PPP contract is awarded.",A,the privat partner of a ppp must submit a perform guarante i up to of the valu of the contract or ii in case of sponsor concess those in which the public partner grant addit payment besid the user fee up to the valu of the work for which the ppp contract is award
533,533,Law 11079/2004 - Public-Private Partnership,"Art. 11, item I",A bid bond up to 1% of the estimated value of the contract may be required from the bidder who participates in the bidding for awarding a PPP contract.,A,a bid bond up to of the estim valu of the contract may be requir from the bidder who particip in the bid for award a ppp contract
534,534,Law 11079/2004 - Public-Private Partnership,"Art. 11, item I",A bid bond up to 1% of the estimated value of the contract may be required from the bidder who participates in the bidding for awarding a PPP contract.,A,a bid bond up to of the estim valu of the contract may be requir from the bidder who particip in the bid for award a ppp contract
535,535,Law 9491/1997 - National Privatisation Program,Art. 12,"The sale of shares to foreign individuals or legal entities may reach one hundred percent of the voting capital, unless there is a legal provision or express statement from the Executive Branch, which determines a lower percentage.",A,the sale of share to foreign individu or legal entiti may reach one hundr percent of the vote capit unless there is a legal provis or express statement from the execut branch which determin a lower percentag
536,536,Law 9491/1997 - National Privatisation Program,Art. 12,"The sale of shares to foreign individuals or legal entities may reach one hundred percent of the voting capital, unless there is a legal provision or express statement from the Executive Branch, which determines a lower percentage.",A,the sale of share to foreign individu or legal entiti may reach one hundr percent of the vote capit unless there is a legal provis or express statement from the execut branch which determin a lower percentag
537,537,Law 12.815/2013 - Law of Ports,Art. 5 item XI,The following clauses are essential to concession contracts: the requirement of a performance guarantee for the proper execution of the contract.  ,A,the follow claus are essenti to concess contract the requir of a perform guarante for the proper execut of the contract
538,538,Law 12.815/2013 - Law of Ports,Art. 5 item XI,The following clauses are essential to concession contracts: the requirement of a performance guarantee for the proper execution of the contract.  ,A,the follow claus are essenti to concess contract the requir of a perform guarante for the proper execut of the contract
539,539,Law 12.815/2013 - Law of Ports,Art. 25,"The pre-qualification of the port operator will be carried out before the port administration, according to the competence rules set out by the granting authority. ",A,the pre-qualif of the port oper will be carri out befor the port administr accord to the compet rule set out by the grant author
540,540,Law 12.815/2013 - Law of Ports,Art. 25,"The pre-qualification of the port operator will be carried out before the port administration, according to the competence rules set out by the granting authority. ",A,the pre-qualif of the port oper will be carri out befor the port administr accord to the compet rule set out by the grant author
541,541,Law 12.815/2013 - Law of Ports,Art. 32,"Port operators must set up a pool of port workers in each organised port, aimed to: manage the supply of labour to port workers and individual port workers; maintain, with exclusivity, the register of the port worker and the register of the independent port worker; train and professionally qualify the port worker, registering him in the register; select and register the temporary port worker; establish the number of vacancies, the form and the frequency for access to the record of the temporary port worker; issue the port worker's identification documents; and collect and transfer to the beneficiaries the amounts owed by the port operators related to the remuneration of the temporary port worker and the corresponding tax, social and social security charges.",A,port oper must set up a pool of port worker in each organis port aim to manag the suppli of labour to port worker and individu port worker maintain with exclus the regist of the port worker and the regist of the independ port worker train and profession qualifi the port worker regist him in the regist select and regist the temporari port worker establish the number of vacanc the form and the frequenc for access to the record of the temporari port worker issu the port worker 's identif document and collect and transfer to the beneficiari the amount owe by the port oper relat to the remuner of the temporari port worker and the correspond tax social and social secur charg
542,542,Law 12.815/2013 - Law of Ports,Art. 32,"Port operators must set up a pool of port workers in each organised port, aimed to: manage the supply of labour to port workers and individual port workers; maintain, with exclusivity, the register of the port worker and the register of the independent port worker; train and professionally qualify the port worker, registering him in the register; select and register the temporary port worker; establish the number of vacancies, the form and the frequency for access to the record of the temporary port worker; issue the port worker's identification documents; and collect and transfer to the beneficiaries the amounts owed by the port operators related to the remuneration of the temporary port worker and the corresponding tax, social and social security charges.",A,port oper must set up a pool of port worker in each organis port aim to manag the suppli of labour to port worker and individu port worker maintain with exclus the regist of the port worker and the regist of the independ port worker train and profession qualifi the port worker regist him in the regist select and regist the temporari port worker establish the number of vacanc the form and the frequenc for access to the record of the temporari port worker issu the port worker 's identif document and collect and transfer to the beneficiari the amount owe by the port oper relat to the remuner of the temporari port worker and the correspond tax social and social secur charg
543,543,Law 12.815/2013 - Law of Ports,Art. 33 item II,"In public ports, registration as a port worker depends on a prospective worker’s prior professional qualifications and training by OGMO or by an OGMO-appointed entity. As explained below, OGMO has exclusivity in the management of port workers. Port workers can register and work in public ports only if they have been trained by OGMO or by and entity appointed by them.

The legislation gives OGMO exclusive management of port-worker training in public ports. In particular, OGMO must support the professional training of permanent and casual port workers, adapting it to the modern processes of cargo handling and operation of port machinery and equipment.

OGMO’s exclusive management of training for the casual workforce constitutes a limitation imposed on port operators in public ports since private terminals do not have to pass through OGMO for training.",A,in public port registr a a port worker depend on a prospect worker ’ s prior profession qualif and train by ogmo or by an ogmo-appoint entiti a explain below ogmo ha exclus in the manag of port worker port worker can regist and work in public port onli if they have been train by ogmo or by and entiti appoint by them the legisl give ogmo exclus manag of port-work train in public port in particular ogmo must support the profession train of perman and casual port worker adapt it to the modern process of cargo handl and oper of port machineri and equip ogmo ’ s exclus manag of train for the casual workforc constitut a limit impos on port oper in public port sinc privat termin do not have to pas through ogmo for train
544,544,Law 12.815/2013 - Law of Ports,Art. 33 item II,"In public ports, registration as a port worker depends on a prospective worker’s prior professional qualifications and training by OGMO or by an OGMO-appointed entity. As explained below, OGMO has exclusivity in the management of port workers. Port workers can register and work in public ports only if they have been trained by OGMO or by and entity appointed by them.

The legislation gives OGMO exclusive management of port-worker training in public ports. In particular, OGMO must support the professional training of permanent and casual port workers, adapting it to the modern processes of cargo handling and operation of port machinery and equipment.

OGMO’s exclusive management of training for the casual workforce constitutes a limitation imposed on port operators in public ports since private terminals do not have to pass through OGMO for training.",A,in public port registr a a port worker depend on a prospect worker ’ s prior profession qualif and train by ogmo or by an ogmo-appoint entiti a explain below ogmo ha exclus in the manag of port worker port worker can regist and work in public port onli if they have been train by ogmo or by and entiti appoint by them the legisl give ogmo exclus manag of port-work train in public port in particular ogmo must support the profession train of perman and casual port worker adapt it to the modern process of cargo handl and oper of port machineri and equip ogmo ’ s exclus manag of train for the casual workforc constitut a limit impos on port oper in public port sinc privat termin do not have to pas through ogmo for train
545,545,Law 12.815/2013 - Law of Ports,Art. 40 par. 2,"The contracting of port workers for foremanship, block, stowage, cargo checking, cargo repair and surveillance of vessels with an employment relationship for an indefinite period will be made exclusively from registered casual port workers.",A,the contract of port worker for foremanship block stowag cargo check cargo repair and surveil of vessel with an employ relationship for an indefinit period will be made exclus from regist casual port worker
546,546,Law 12.815/2013 - Law of Ports,Art. 40 par. 2,"The contracting of port workers for foremanship, block, stowage, cargo checking, cargo repair and surveillance of vessels with an employment relationship for an indefinite period will be made exclusively from registered casual port workers.",A,the contract of port worker for foremanship block stowag cargo check cargo repair and surveil of vessel with an employ relationship for an indefinit period will be made exclus from regist casual port worker
547,547,Law 12.815/2013 - Law of Ports,Art. 40 par. 2,"The contracting of port workers for foremanship, block, stowage, cargo checking, cargo repair and surveillance of vessels with an employment relationship for an indefinite period will be made exclusively from registered casual port workers.",A,the contract of port worker for foremanship block stowag cargo check cargo repair and surveil of vessel with an employ relationship for an indefinit period will be made exclus from regist casual port worker
548,548,Law 12.815/2013 - Law of Ports,Art. 41 par.1,"Enrolment in the port worker's registry will depend exclusively on prior professional qualification of the interested worker, through training carried out in an entity indicated by the pool of port workers. ",A,enrol in the port worker 's registri will depend exclus on prior profession qualif of the interest worker through train carri out in an entiti indic by the pool of port worker
549,549,Law 12.815/2013 - Law of Ports,Art. 41 par.2,"Admission to the independent port worker's registry depends on prior selection and enrolment in the registry referred to in item I of the main Article [line above], subject to the availability of vacancies and the chronological order of Enrolment in the registry.",A,admiss to the independ port worker 's registri depend on prior select and enrol in the registri refer to in item i of the main articl line abov subject to the avail of vacanc and the chronolog order of enrol in the registri
550,550,Law 12.815/2013 - Law of Ports,Art. 41 par.2,"Admission to the independent port worker's registry depends on prior selection and enrolment in the registry referred to in item I of the main Article [line above], subject to the availability of vacancies and the chronological order of Enrolment in the registry.",A,admiss to the independ port worker 's registri depend on prior select and enrol in the registri refer to in item i of the main articl line abov subject to the avail of vacanc and the chronolog order of enrol in the registri
551,551,Law 12.815/2013 - Law of Ports,Art. 41 par.2,"Admission to the independent port worker's registry depends on prior selection and enrolment in the registry referred to in item I of the main Article [line above], subject to the availability of vacancies and the chronological order of Enrolment in the registry.",A,admiss to the independ port worker 's registri depend on prior select and enrol in the registri refer to in item i of the main articl line abov subject to the avail of vacanc and the chronolog order of enrol in the registri
552,552,Law 12.815/2013 - Law of Ports,Art. 42,"The selection and registration of the casual port worker will be carried out by the pool of port workers, in accordance with the rules established in the contract, convention or collective labour agreement.",A,the select and registr of the casual port worker will be carri out by the pool of port worker in accord with the rule establish in the contract convent or collect labour agreement
553,553,Law 12.815/2013 - Law of Ports,Art. 42,"The selection and registration of the casual port worker will be carried out by the pool of port workers, in accordance with the rules established in the contract, convention or collective labour agreement.",A,the select and registr of the casual port worker will be carri out by the pool of port worker in accord with the rule establish in the contract convent or collect labour agreement
554,554,Law 12.815/2013 - Law of Ports,Art. 42,"The selection and registration of the casual port worker will be carried out by the pool of port workers, in accordance with the rules established in the contract, convention or collective labour agreement.",A,the select and registr of the casual port worker will be carri out by the pool of port worker in accord with the rule establish in the contract convent or collect labour agreement
555,555,Law 12.815/2013 - Law of Ports,Art. 54 par. 2,"When contracting dredging by result, it is mandatory to provide a performance guarantee by the contracted party.",A,when contract dredg by result it is mandatori to provid a perform guarante by the contract parti
557,557,Decree 8.033/2013- Decree-Law of Ports,Art. 7-B sole par item VI,"The summoning instrument for the opening of the public call will establish a period of thirty days to identify the existence of interested parties in the exploitation of the area and the port facility, and must contain the value of the bid bond to be offered. ",A,the summon instrument for the open of the public call will establish a period of thirti day to identifi the exist of interest parti in the exploit of the area and the port facil and must contain the valu of the bid bond to be offer
558,558,Decree 8.033/2013- Decree-Law of Ports,Art. 7-C par. 2,The legal entity that is interested in responding to the public call must formally express its interest through a document filed with the port authority. The statement must be accompanied by a proof of the provision of the bid bond referred to in item VI of the sole paragraph of art. 7-B.,A,the legal entiti that is interest in respond to the public call must formal express it interest through a document file with the port author the statement must be accompani by a proof of the provis of the bid bond refer to in item vi of the sole paragraph of art 7-b
559,559,Decree 8.033/2013- Decree-Law of Ports,"Art. 10, sole par. ","In the qualification phase of the bids, with respect to the technical qualification in the lease bids, the notice may establish that the bidder undertakes to obtain its pre-qualification as a port operator by the port administration; or to hire a pre-qualified port operator by the port administration for the performance of port operations, without prejudice to full compliance with the quality goals.  ",A,in the qualif phase of the bid with respect to the technic qualif in the lea bid the notic may establish that the bidder undertak to obtain it pre-qualif a a port oper by the port administr or to hire a pre-qualifi port oper by the port administr for the perform of port oper without prejudic to full complianc with the qualiti goal
560,560,Decree 8.033/2013- Decree-Law of Ports,"Art. 10, sole par. ","In the qualification phase of the bids, with respect to the technical qualification in the lease bids, the notice may establish that the bidder undertakes to obtain its pre-qualification as a port operator by the port administration; or to hire a pre-qualified port operator by the port administration for the performance of port operations, without prejudice to full compliance with the quality goals.  ",A,in the qualif phase of the bid with respect to the technic qualif in the lea bid the notic may establish that the bidder undertak to obtain it pre-qualif a a port oper by the port administr or to hire a pre-qualifi port oper by the port administr for the perform of port oper without prejudic to full complianc with the qualiti goal
561,561,Decree 8.033/2013- Decree-Law of Ports,"Art. 10, sole par. ","In the qualification phase of the bids, with respect to the technical qualification in the lease bids, the notice may establish that the bidder undertakes to obtain its pre-qualification as a port operator by the port administration; or to hire a pre-qualified port operator by the port administration for the performance of port operations, without prejudice to full compliance with the quality goals.  ",A,in the qualif phase of the bid with respect to the technic qualif in the lea bid the notic may establish that the bidder undertak to obtain it pre-qualif a a port oper by the port administr or to hire a pre-qualifi port oper by the port administr for the perform of port oper without prejudic to full complianc with the qualiti goal
562,562,Decree 8.033/2013- Decree-Law of Ports,Art. 19,"The concession and lease contracts will have a fixed term, renewable for successive times, at the discretion of the granting authority, subject to the following limits: in the case of an organised port concession, the contracts will have a term of up to seventy years, including the original term of validity and all extensions; and in the case of leasing a port facility, the contracts will have a term of up to thirty-five years, and may be extended up to a maximum of seventy years, including the original term of validity and all extensions.",A,the concess and lea contract will have a fix term renew for success time at the discret of the grant author subject to the follow limit in the case of an organis port concess the contract will have a term of up to seventi year includ the origin term of valid and all extens and in the case of lea a port facil the contract will have a term of up to thirty-f year and may be extend up to a maximum of seventi year includ the origin term of valid and all extens
563,563,Decree 8.033/2013- Decree-Law of Ports,Art. 27,"Those interested in obtaining a port installation authorisation may apply to ANTAQ, at any time, upon presentation of documents, among others that may be required by ANTAQ: declaration of adequacy of the enterprise to the planning guidelines and policies of the port sector, issued by the granting authority; descriptive memorial of the facilities, with the specifications established by ANTAQ, title deed, registration of occupation, certificate of tenure or assignment contract under real law, or other legal instrument that ensures the right to use and enjoy the land; documentation proving its regularity before the federal, state and municipal treasuries at the headquarters of the legal entity and the Employee Severance Guarantee Fund - FGTS; and favourable opinion of the maritime authority, which must respond to the consultation within a period not exceeding fifteen days.",A,those interest in obtain a port instal authoris may appli to antaq at ani time upon present of document among other that may be requir by antaq declar of adequaci of the enterpris to the plan guidelin and polici of the port sector issu by the grant author descript memori of the facil with the specif establish by antaq titl deed registr of occup certif of tenur or assign contract under real law or other legal instrument that ensur the right to use and enjoy the land document prove it regular befor the feder state and municip treasuri at the headquart of the legal entiti and the employe sever guarante fund fgt and favour opinion of the maritim author which must respond to the consult within a period not exceed fifteen day
564,564,Decree 8.033/2013- Decree-Law of Ports,Art. 27,"Those interested in obtaining a port installation authorisation may apply to ANTAQ, at any time, upon presentation of documents, among others that may be required by ANTAQ: declaration of adequacy of the enterprise to the planning guidelines and policies of the port sector, issued by the granting authority; descriptive memorial of the facilities, with the specifications established by ANTAQ, title deed, registration of occupation, certificate of tenure or assignment contract under real law, or other legal instrument that ensures the right to use and enjoy the land; documentation proving its regularity before the federal, state and municipal treasuries at the headquarters of the legal entity and the Employee Severance Guarantee Fund - FGTS; and favourable opinion of the maritime authority, which must respond to the consultation within a period not exceeding fifteen days.",A,those interest in obtain a port instal authoris may appli to antaq at ani time upon present of document among other that may be requir by antaq declar of adequaci of the enterpris to the plan guidelin and polici of the port sector issu by the grant author descript memori of the facil with the specif establish by antaq titl deed registr of occup certif of tenur or assign contract under real law or other legal instrument that ensur the right to use and enjoy the land document prove it regular befor the feder state and municip treasuri at the headquart of the legal entiti and the employe sever guarante fund fgt and favour opinion of the maritim author which must respond to the consult within a period not exceed fifteen day
567,567,Decree 8.033/2013- Decree-Law of Ports,Art. 42,"The investments not foreseen in the contracts must be preceded by communication to ANTAQ, in the case of authorised port facilities; and approval of the granting authority, preceded by ANTAQ's analysis, in the case of concessions and leases.",A,the invest not foreseen in the contract must be preced by commun to antaq in the case of authoris port facil and approv of the grant author preced by antaq 's analysi in the case of concess and lea
568,568,Ordinance 1064/2020 by Secretariat of Ports - Private Terminal,Art. 3,Anyone interested in obtaining authorisation to operate a port facility must request the National Secretariat of Ports and Waterway to issue a declaration of adequacy of the undertaking to the planning guidelines and policies of the port sector.,A,anyon interest in obtain authoris to oper a port facil must request the nation secretariat of port and waterway to issu a declar of adequaci of the undertak to the plan guidelin and polici of the port sector
570,570,Ordinance 1064/2020 by Secretariat of Ports - Private Terminal,Art. 7,"After the issuance of the declaration of adequacy, those interested in obtaining authorisation to explore a port facility must submit an application to ANTAQ.",A,after the issuanc of the declar of adequaci those interest in obtain authoris to explor a port facil must submit an applic to antaq
571,571,Ordinance 1064/2020 by Secretariat of Ports - Private Terminal,Art. 22,The authorisation holder interested in expanding the area of the port facility must submit an application to the National Secretariat of Ports for an assessment of the suitability of the claim with the planning guidelines and policies of the port sector.,A,the authoris holder interest in expand the area of the port facil must submit an applic to the nation secretariat of port for an ass of the suitabl of the claim with the plan guidelin and polici of the port sector
573,573,Ordinance 1064/2020 by Secretariat of Ports - Private Terminal,Art. 27,Anyone interested in changing the cargo profile provided for in the adhesion contract must request the National Secretariat of Ports and Waterway Transport to issue a declaration of suitability of the claim to the planning guidelines and policies of the port sector.,A,anyon interest in chang the cargo profil provid for in the adhes contract must request the nation secretariat of port and waterway transport to issu a declar of suitabl of the claim to the plan guidelin and polici of the port sector
575,575,Ordinance 1064/2020 by Secretariat of Ports - Private Terminal,Art. 48,The transfer of corporate control of a port facility authorisation holder requires prior analysis and approval by ANTAQ.,A,the transfer of corpor control of a port facil authoris holder requir prior analysi and approv by antaq
576,576,Ordinance 1064/2020 by Secretariat of Ports - Private Terminal,Art. 48,The transfer of corporate control of a port facility authorisation holder requires prior analysis and approval by ANTAQ.,A,the transfer of corpor control of a port facil authoris holder requir prior analysi and approv by antaq
577,577,Resolution 71/2022 (Former Normative Resolution by ANTAQ 20/2018) - Private Terminal,Art. 3,"Only companies incorporated under Brazilian Law, with the headquarters and administration in the country may apply for authorisation to construct and operate the port facility.",A,onli compani incorpor under brazilian law with the headquart and administr in the countri may appli for authoris to construct and oper the port facil
578,578,Resolution 71/2022 (Former Normative Resolution by ANTAQ 20/2018) - Private Terminal,Art. 3,"Only companies incorporated under Brazilian Law, with the headquarters and administration in the country may apply for authorisation to construct and operate the port facility.",A,onli compani incorpor under brazilian law with the headquart and administr in the countri may appli for authoris to construct and oper the port facil
579,579,Resolution 71/2022 (Former Normative Resolution by ANTAQ 20/2018) - Private Terminal,Art. 3,"Only companies incorporated under Brazilian Law, with the headquarters and administration in the country may apply for authorisation to construct and operate the port facility.",A,onli compani incorpor under brazilian law with the headquart and administr in the countri may appli for authoris to construct and oper the port facil
580,580,Resolution 71/2022 (Former Normative Resolution by ANTAQ 20/2018) - Private Terminal,Art. 11,"The legal entity incorporated under Brazilian laws, with headquarters and administration in the country, interested in responding to the Public Announcement or the Public Call, must formally express its interest through correspondence filed before ANTAQ, with the necessary documentation. ",A,the legal entiti incorpor under brazilian law with headquart and administr in the countri interest in respond to the public announc or the public call must formal express it interest through correspond file befor antaq with the necessari document
581,581,Resolution 71/2022 (Former Normative Resolution by ANTAQ 20/2018) - Private Terminal,Art. 11,"The legal entity incorporated under Brazilian laws, with headquarters and administration in the country, interested in responding to the Public Announcement or the Public Call, must formally express its interest through correspondence filed before ANTAQ, with the necessary documentation. ",A,the legal entiti incorpor under brazilian law with headquart and administr in the countri interest in respond to the public announc or the public call must formal express it interest through correspond file befor antaq with the necessari document
582,582,Resolution 71/2022 (Former Normative Resolution by ANTAQ 20/2018) - Private Terminal,Art. 11,"The legal entity incorporated under Brazilian laws, with headquarters and administration in the country, interested in responding to the Public Announcement or the Public Call, must formally express its interest through correspondence filed before ANTAQ, with the necessary documentation. ",A,the legal entiti incorpor under brazilian law with headquart and administr in the countri interest in respond to the public announc or the public call must formal express it interest through correspond file befor antaq with the necessari document
